t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,0,Voie libre
0.10,0.2,7.1,SAFE,0,Voie libre
0.15,0.3,8.8,SAFE,0,Voie libre
0.20,0.4,10.6,SAFE,0,Voie libre
0.25,0.6,12.3,SAFE,0,Voie libre
0.30,0.7,14.1,SAFE,0,Voie libre
0.35,1.0,15.9,SAFE,0,Voie libre
0.40,1.2,17.6,SAFE,0,Voie libre
0.45,1.5,19.4,SAFE,0,Voie libre
0.50,1.7,21.2,SAFE,0,Voie libre
0.55,2.0,22.9,SAFE,0,Voie libre
0.60,2.3,13.2,SAFE,0,Voie libre
0.65,2.3,0.8,SAFE,0,Voie libre
0.70,2.3,0.9,SAFE,0,Voie libre
0.75,2.4,0.9,SAFE,0,Voie libre
0.80,2.4,0.7,SAFE,0,Voie libre
0.85,2.4,0.6,SAFE,0,Voie libre
0.90,2.4,1.0,SAFE,0,Voie libre
0.95,2.4,3.6,SAFE,0,Voie libre
1.00,2.5,5.4,SAFE,0,Voie libre
1.05,2.6,6.8,SAFE,0,Voie libre
1.10,2.7,7.7,SAFE,0,Voie libre
1.15,2.8,8.4,SAFE,0,Voie libre
1.20,2.9,9.0,SAFE,0,Voie libre
1.25,3.0,9.5,SAFE,0,Voie libre
1.30,3.2,10.1,SAFE,0,Voie libre
1.35,3.3,10.6,SAFE,0,Voie libre
1.40,3.5,11.2,SAFE,0,Voie libre
1.45,3.6,11.6,SAFE,0,Voie libre
1.50,3.8,12.2,SAFE,0,Voie libre
1.55,4.0,12.6,SAFE,0,Voie libre
1.60,4.1,13.1,SAFE,0,Voie libre
1.65,4.3,13.6,SAFE,0,Voie libre
1.70,4.5,14.1,SAFE,0,Voie libre
1.75,4.7,14.5,SAFE,0,Voie libre
1.80,4.9,15.0,SAFE,0,Voie libre
1.85,5.1,15.4,SAFE,0,Voie libre
1.90,5.4,15.8,SAFE,0,Voie libre
1.95,5.6,16.2,SAFE,0,Voie libre
2.00,5.8,16.7,SAFE,0,Voie libre
2.05,6.0,17.1,SAFE,0,Voie libre
2.10,6.3,17.5,SAFE,0,Voie libre
2.15,6.5,17.8,SAFE,0,Voie libre
2.20,6.8,18.2,SAFE,0,Voie libre
2.25,7.0,18.5,SAFE,0,Voie libre
2.30,7.3,18.2,SAFE,0,Voie libre
2.35,7.5,18.2,SAFE,0,Voie libre
2.40,7.8,18.1,SAFE,0,Voie libre
2.45,8.0,18.2,SAFE,0,Voie libre
2.50,8.3,18.3,SAFE,0,Voie libre
2.55,8.6,18.5,SAFE,0,Voie libre
2.60,8.8,18.6,SAFE,0,Voie libre
2.65,9.1,18.9,SAFE,0,Voie libre
2.70,9.3,19.1,SAFE,0,Voie libre
2.75,9.6,19.4,SAFE,0,Voie libre
2.80,9.9,19.6,SAFE,0,Voie libre
2.85,10.2,20.0,SAFE,0,Voie libre
2.90,10.4,20.1,SAFE,0,Voie libre
2.95,10.7,20.5,SAFE,0,Voie libre
3.00,11.0,20.7,SAFE,0,Voie libre
3.05,11.3,21.0,SAFE,0,Voie libre
3.10,11.6,21.1,SAFE,0,Voie libre
3.15,11.9,21.4,SAFE,0,Voie libre
3.20,12.2,21.6,SAFE,0,Voie libre
3.25,12.5,21.9,SAFE,0,Voie libre
3.30,12.8,22.0,SAFE,0,Voie libre
3.35,13.1,22.3,SAFE,0,Voie libre
3.40,13.4,22.4,SAFE,0,Voie libre
3.45,13.7,22.6,SAFE,0,Voie libre
3.50,14.0,22.7,SAFE,0,Voie libre
3.55,14.4,23.0,SAFE,0,Voie libre
3.60,14.7,23.1,SAFE,0,Voie libre
3.65,15.0,23.3,SAFE,0,Voie libre
3.70,15.3,23.4,SAFE,0,Voie libre
3.75,15.6,23.6,SAFE,0,Voie libre
3.80,16.0,23.6,SAFE,0,Voie libre
3.85,16.3,23.8,SAFE,0,Voie libre
3.90,16.6,23.9,SAFE,0,Voie libre
3.95,17.0,24.1,SAFE,0,Voie libre
4.00,17.3,24.1,SAFE,0,Voie libre
4.05,17.6,24.3,SAFE,0,Voie libre
4.10,18.0,24.3,SAFE,0,Voie libre
4.15,18.3,24.5,SAFE,0,Voie libre
4.20,18.7,24.5,SAFE,1,Situation maîtrisée
4.25,19.0,24.7,SAFE,1,Situation maîtrisée
4.30,19.3,24.7,CRITICAL,2,FREINEZ de 14 km/h  (25 -> 11 km/h)
4.35,19.7,24.7,CRITICAL,2,FREINEZ de 14 km/h  (25 -> 10 km/h)
4.40,20.0,24.4,CRITICAL,2,FREINEZ de 14 km/h  (24 -> 10 km/h)
4.45,20.4,24.0,CRITICAL,2,FREINEZ de 14 km/h  (24 -> 10 km/h)
4.50,20.7,23.2,CRITICAL,2,FREINEZ de 13 km/h  (23 -> 10 km/h)
4.55,21.0,22.6,CRITICAL,2,FREINEZ de 13 km/h  (23 -> 10 km/h)
4.60,21.3,21.8,CRITICAL,2,FREINEZ de 12 km/h  (22 -> 10 km/h)
4.65,21.6,16.9,DANGER,2,Ralentissez de 7 km/h  (17 -> 10 km/h)
4.70,21.8,12.1,WATCH,1,Ralentissez de 2 km/h  (12 -> 10 km/h)
4.75,21.9,7.3,SAFE,1,Situation maîtrisée
