t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,1,Situation maîtrisée
0.10,0.2,7.1,SAFE,1,Situation maîtrisée
0.15,0.3,8.8,SAFE,1,Situation maîtrisée
0.20,0.4,10.6,SAFE,1,Situation maîtrisée
0.25,0.6,12.3,SAFE,1,Situation maîtrisée
0.30,0.7,14.1,SAFE,1,Situation maîtrisée
0.35,1.0,15.9,SAFE,1,Situation maîtrisée
0.40,1.2,17.6,SAFE,1,Situation maîtrisée
0.45,1.5,19.4,SAFE,1,Situation maîtrisée
0.50,1.7,21.2,SAFE,1,Situation maîtrisée
0.55,2.0,22.9,SAFE,1,Situation maîtrisée
0.60,2.3,13.4,SAFE,1,Situation maîtrisée
0.65,2.3,0.7,SAFE,1,Situation maîtrisée
0.70,2.3,0.9,SAFE,1,Situation maîtrisée
0.75,2.4,0.9,SAFE,1,Situation maîtrisée
0.80,2.4,0.7,SAFE,1,Situation maîtrisée
0.85,2.4,1.6,SAFE,1,Situation maîtrisée
0.90,2.4,4.2,SAFE,1,Situation maîtrisée
0.95,2.5,6.1,SAFE,1,Situation maîtrisée
1.00,2.6,7.4,SAFE,1,Situation maîtrisée
1.05,2.7,8.3,SAFE,1,Situation maîtrisée
1.10,2.8,9.2,SAFE,1,Situation maîtrisée
1.15,3.0,10.0,SAFE,1,Situation maîtrisée
1.20,3.1,10.7,SAFE,1,Situation maîtrisée
1.25,3.3,11.4,SAFE,1,Situation maîtrisée
1.30,3.4,12.1,SAFE,1,Situation maîtrisée
1.35,3.6,12.8,SAFE,1,Situation maîtrisée
1.40,3.8,13.4,SAFE,1,Situation maîtrisée
1.45,4.0,14.0,SAFE,1,Situation maîtrisée
1.50,4.2,14.6,SAFE,1,Situation maîtrisée
1.55,4.4,15.1,SAFE,1,Situation maîtrisée
1.60,4.6,15.6,SAFE,1,Situation maîtrisée
1.65,4.8,16.0,SAFE,1,Situation maîtrisée
1.70,5.0,16.5,SAFE,1,Situation maîtrisée
1.75,5.3,16.8,SAFE,1,Situation maîtrisée
1.80,5.5,17.2,SAFE,1,Situation maîtrisée
1.85,5.7,17.5,SAFE,1,Situation maîtrisée
1.90,6.0,17.8,SAFE,0,Voie libre
1.95,6.2,18.1,SAFE,0,Voie libre
2.00,6.5,18.3,SAFE,0,Voie libre
2.05,6.8,18.1,SAFE,0,Voie libre
2.10,7.0,18.4,SAFE,0,Voie libre
2.15,7.3,18.1,SAFE,0,Voie libre
2.20,7.5,18.2,SAFE,0,Voie libre
2.25,7.8,18.3,SAFE,0,Voie libre
2.30,8.0,18.3,SAFE,0,Voie libre
2.35,8.3,18.1,SAFE,0,Voie libre
2.40,8.5,18.1,SAFE,0,Voie libre
2.45,8.8,18.0,SAFE,0,Voie libre
2.50,9.0,18.8,SAFE,0,Voie libre
2.55,9.3,18.5,SAFE,0,Voie libre
2.60,9.5,18.5,SAFE,0,Voie libre
2.65,9.8,18.4,SAFE,0,Voie libre
2.70,10.1,18.4,SAFE,0,Voie libre
2.75,10.3,18.3,SAFE,0,Voie libre
2.80,10.6,18.4,SAFE,0,Voie libre
2.85,10.8,18.2,SAFE,0,Voie libre
2.90,11.1,18.3,SAFE,0,Voie libre
2.95,11.3,18.2,SAFE,0,Voie libre
3.00,11.6,18.1,SAFE,0,Voie libre
3.05,11.8,18.1,SAFE,0,Voie libre
3.10,12.1,17.7,SAFE,0,Voie libre
3.15,12.3,17.1,SAFE,0,Voie libre
3.20,12.5,16.5,SAFE,0,Voie libre
3.25,12.8,16.1,SAFE,0,Voie libre
3.30,13.0,15.7,SAFE,1,Situation maîtrisée
3.35,13.2,15.3,SAFE,1,Situation maîtrisée
3.40,13.4,14.9,SAFE,1,Situation maîtrisée
3.45,13.6,14.5,SAFE,1,Situation maîtrisée
3.50,13.8,14.1,SAFE,1,Situation maîtrisée
3.55,14.0,13.8,SAFE,1,Situation maîtrisée
3.60,14.2,13.5,SAFE,1,Situation maîtrisée
3.65,14.4,13.2,SAFE,1,Situation maîtrisée
3.70,14.5,12.9,SAFE,1,Situation maîtrisée
3.75,14.7,12.7,SAFE,1,Situation maîtrisée
3.80,14.9,12.4,SAFE,1,Situation maîtrisée
3.85,15.0,12.2,SAFE,1,Situation maîtrisée
3.90,15.2,11.9,SAFE,1,Situation maîtrisée
3.95,15.4,11.7,SAFE,1,Situation maîtrisée
4.00,15.5,11.4,SAFE,1,Situation maîtrisée
4.05,15.7,11.2,SAFE,1,Situation maîtrisée
4.10,15.8,11.0,SAFE,1,Situation maîtrisée
4.15,16.0,10.8,SAFE,1,Situation maîtrisée
4.20,16.1,10.5,SAFE,1,Situation maîtrisée
4.25,16.3,10.3,SAFE,1,Situation maîtrisée
4.30,16.4,10.1,SAFE,1,Situation maîtrisée
4.35,16.6,9.9,SAFE,1,Situation maîtrisée
4.40,16.7,9.7,SAFE,1,Situation maîtrisée
4.45,16.8,9.7,SAFE,1,Situation maîtrisée
4.50,16.9,9.6,SAFE,1,Situation maîtrisée
4.55,17.1,9.6,SAFE,1,Situation maîtrisée
4.60,17.2,9.6,SAFE,1,Situation maîtrisée
4.65,17.3,9.6,SAFE,1,Situation maîtrisée
4.70,17.5,9.7,SAFE,1,Situation maîtrisée
4.75,17.6,9.6,SAFE,1,Situation maîtrisée
4.80,17.7,9.5,SAFE,1,Situation maîtrisée
4.85,17.9,9.3,SAFE,1,Situation maîtrisée
4.90,18.0,9.0,SAFE,1,Situation maîtrisée
4.95,18.1,8.9,SAFE,1,Situation maîtrisée
5.00,18.2,8.9,SAFE,1,Situation maîtrisée
5.05,18.3,9.0,SAFE,1,Situation maîtrisée
5.10,18.4,9.1,SAFE,1,Situation maîtrisée
5.15,18.6,9.2,SAFE,1,Situation maîtrisée
5.20,18.7,9.3,SAFE,1,Situation maîtrisée
5.25,18.8,9.3,SAFE,1,Situation maîtrisée
5.30,18.9,9.4,SAFE,1,Situation maîtrisée
5.35,19.1,9.5,SAFE,1,Situation maîtrisée
5.40,19.2,9.7,SAFE,1,Situation maîtrisée
5.45,19.3,9.7,SAFE,1,Situation maîtrisée
5.50,19.4,9.8,SAFE,1,Situation maîtrisée
5.55,19.6,9.9,SAFE,1,Situation maîtrisée
5.60,19.7,9.9,SAFE,1,Situation maîtrisée
5.65,19.8,10.0,SAFE,1,Situation maîtrisée
5.70,20.0,10.0,SAFE,1,Situation maîtrisée
5.75,20.1,10.0,SAFE,1,Situation maîtrisée
5.80,20.2,10.1,SAFE,1,Situation maîtrisée
5.85,20.4,10.1,SAFE,1,Situation maîtrisée
5.90,20.5,10.1,SAFE,1,Situation maîtrisée
5.95,20.6,10.1,SAFE,1,Situation maîtrisée
6.00,20.8,10.1,SAFE,1,Situation maîtrisée
6.05,20.9,10.1,SAFE,1,Situation maîtrisée
6.10,21.0,10.1,SAFE,1,Situation maîtrisée
6.15,21.2,10.1,SAFE,1,Situation maîtrisée
6.20,21.3,10.1,SAFE,1,Situation maîtrisée
6.25,21.4,10.1,SAFE,1,Situation maîtrisée
6.30,21.6,10.1,SAFE,1,Situation maîtrisée
6.35,21.7,10.1,SAFE,1,Situation maîtrisée
6.40,21.9,10.1,SAFE,1,Situation maîtrisée
6.45,22.0,10.1,SAFE,1,Situation maîtrisée
6.50,22.1,10.1,SAFE,0,Voie libre
6.55,22.3,10.1,SAFE,0,Voie libre
6.60,22.4,10.0,SAFE,0,Voie libre
6.65,22.5,10.0,SAFE,0,Voie libre
6.70,22.7,10.0,SAFE,0,Voie libre
6.75,22.8,10.0,SAFE,0,Voie libre
6.80,23.0,10.0,SAFE,0,Voie libre
6.85,23.1,10.0,SAFE,0,Voie libre
6.90,23.2,10.0,SAFE,0,Voie libre
6.95,23.4,10.0,SAFE,0,Voie libre
7.00,23.5,10.0,SAFE,0,Voie libre
7.05,23.6,10.0,SAFE,0,Voie libre
7.10,23.8,10.0,SAFE,0,Voie libre
7.15,23.9,10.0,SAFE,0,Voie libre
7.20,24.1,10.0,SAFE,0,Voie libre
7.25,24.2,10.0,SAFE,0,Voie libre
7.30,24.3,10.0,SAFE,0,Voie libre
7.35,24.5,10.0,SAFE,0,Voie libre
7.40,24.6,10.0,SAFE,0,Voie libre
7.45,24.7,10.0,SAFE,0,Voie libre
7.50,24.9,10.0,SAFE,0,Voie libre
7.55,25.0,10.0,SAFE,0,Voie libre
7.60,25.2,10.1,SAFE,0,Voie libre
7.65,25.3,10.2,SAFE,0,Voie libre
7.70,25.4,10.3,SAFE,0,Voie libre
7.75,25.6,10.4,SAFE,0,Voie libre
7.80,25.7,10.6,SAFE,0,Voie libre
7.85,25.9,10.8,SAFE,0,Voie libre
7.90,26.0,11.0,SAFE,0,Voie libre
7.95,26.2,11.2,SAFE,0,Voie libre
8.00,26.3,11.5,SAFE,0,Voie libre
8.05,26.5,11.7,SAFE,0,Voie libre
8.10,26.7,11.9,SAFE,0,Voie libre
8.15,26.8,12.2,SAFE,0,Voie libre
8.20,27.0,12.5,SAFE,0,Voie libre
8.25,27.2,12.7,SAFE,0,Voie libre
8.30,27.3,13.0,SAFE,0,Voie libre
8.35,27.5,13.3,SAFE,0,Voie libre
8.40,27.7,13.5,SAFE,0,Voie libre
8.45,27.9,13.8,SAFE,0,Voie libre
8.50,28.1,14.0,SAFE,0,Voie libre
8.55,28.3,14.3,SAFE,0,Voie libre
8.60,28.5,14.6,SAFE,0,Voie libre
8.65,28.7,14.8,SAFE,0,Voie libre
8.70,28.9,15.1,SAFE,0,Voie libre
8.75,29.1,15.3,SAFE,0,Voie libre
8.80,29.3,15.6,SAFE,0,Voie libre
8.85,29.6,15.8,SAFE,0,Voie libre
8.90,29.8,16.0,SAFE,0,Voie libre
8.95,30.0,16.3,SAFE,0,Voie libre
9.00,30.2,16.5,SAFE,0,Voie libre
9.05,30.5,16.8,SAFE,0,Voie libre
9.10,30.7,17.0,SAFE,0,Voie libre
9.15,30.9,17.2,SAFE,0,Voie libre
9.20,31.2,17.5,SAFE,0,Voie libre
9.25,31.4,17.7,SAFE,0,Voie libre
9.30,31.7,17.9,SAFE,0,Voie libre
9.35,31.9,18.1,SAFE,0,Voie libre
9.40,32.2,18.3,SAFE,0,Voie libre
9.45,32.4,18.1,SAFE,0,Voie libre
9.50,32.7,18.0,SAFE,0,Voie libre
9.55,32.9,18.3,SAFE,0,Voie libre
9.60,33.2,18.1,SAFE,0,Voie libre
9.65,33.4,18.3,SAFE,0,Voie libre
9.70,33.7,18.6,SAFE,0,Voie libre
9.75,33.9,18.3,SAFE,0,Voie libre
9.80,34.2,18.6,SAFE,0,Voie libre
9.85,34.5,18.3,SAFE,0,Voie libre
9.90,34.7,18.7,SAFE,0,Voie libre
9.95,35.0,18.5,SAFE,0,Voie libre
10.00,35.2,18.9,SAFE,0,Voie libre
10.05,35.5,18.6,SAFE,0,Voie libre
10.10,35.7,19.0,SAFE,0,Voie libre
10.15,36.0,18.8,SAFE,0,Voie libre
10.20,36.3,19.2,SAFE,0,Voie libre
10.25,36.5,18.9,SAFE,0,Voie libre
10.30,36.8,19.3,SAFE,0,Voie libre
10.35,37.1,19.0,SAFE,0,Voie libre
10.40,37.3,19.4,SAFE,0,Voie libre
10.45,37.6,19.0,SAFE,0,Voie libre
10.50,37.9,19.4,SAFE,0,Voie libre
10.55,38.1,19.2,SAFE,0,Voie libre
10.60,38.4,19.5,SAFE,0,Voie libre
10.65,38.7,19.2,SAFE,0,Voie libre
10.70,38.9,19.7,SAFE,0,Voie libre
10.75,39.2,19.5,SAFE,0,Voie libre
10.80,39.5,19.7,SAFE,0,Voie libre
10.85,39.8,19.4,SAFE,0,Voie libre
10.90,40.0,19.8,SAFE,0,Voie libre
10.95,40.3,19.6,SAFE,0,Voie libre
11.00,40.6,19.8,SAFE,0,Voie libre
11.05,40.9,19.4,SAFE,0,Voie libre
11.10,41.1,19.9,SAFE,0,Voie libre
11.15,41.4,19.6,SAFE,0,Voie libre
11.20,41.7,19.9,SAFE,0,Voie libre
11.25,42.0,19.5,SAFE,0,Voie libre
11.30,42.2,19.9,SAFE,0,Voie libre
11.35,42.5,19.7,SAFE,0,Voie libre
11.40,42.8,19.9,SAFE,0,Voie libre
11.45,43.1,19.5,SAFE,0,Voie libre
11.50,43.3,20.0,SAFE,0,Voie libre
11.55,43.6,19.7,SAFE,0,Voie libre
11.60,43.9,20.0,SAFE,0,Voie libre
11.65,44.2,19.6,SAFE,0,Voie libre
11.70,44.4,20.1,SAFE,0,Voie libre
11.75,44.7,19.8,SAFE,0,Voie libre
11.80,45.0,20.0,SAFE,0,Voie libre
