t,id_autre,type_autre,relation,meme_voie,distance_m,ecart_lateral_m,cap_relatif_deg,vitesse_ego_kmh,vitesse_autre_kmh,vitesse_relative_kmh,ttc_s,thw_s,drac,niveau,metrique_decisive
3.30,945,voiture,convergente,non,60.0,+0.01,+0.0,19.3,0.1,+19.2,11.25,11.20,0.24,CRITICAL,PET
3.35,945,voiture,convergente,non,59.7,+0.00,+0.0,19.3,0.1,+19.2,11.17,11.13,0.24,CRITICAL,PET
3.40,945,voiture,convergente,non,59.4,+0.00,+0.0,19.0,0.1,+18.9,11.33,11.29,0.23,CRITICAL,PET
3.45,945,voiture,convergente,non,59.2,+0.00,+0.0,18.7,0.1,+18.6,11.46,11.42,0.23,CRITICAL,PET
3.50,945,voiture,convergente,non,59.0,+0.01,+0.0,13.8,0.0,+13.8,15.39,15.34,0.12,CRITICAL,PET
3.55,945,voiture,convergente,non,58.8,+0.02,+0.0,9.0,0.0,+9.0,23.51,23.41,0.05,CRITICAL,PET
3.60,945,voiture,convergente,non,58.7,+0.02,+0.0,4.3,0.0,+4.2,49.81,49.49,0.01,CRITICAL,PET
3.65,945,voiture,convergente,non,58.7,+0.03,+0.0,0.0,0.0,-0.0,,11507.85,0.00,SAFE,—
3.70,945,voiture,convergente,non,58.7,+0.03,+0.0,0.0,0.0,-0.0,,29509.13,0.00,SAFE,—
3.75,945,voiture,convergente,non,58.7,+0.03,+0.0,0.0,0.0,+0.0,14234.92,10142.12,0.00,SAFE,—
3.80,945,voiture,convergente,non,58.7,+0.01,+0.0,0.9,0.0,+0.9,235.68,235.16,0.00,SAFE,—
3.85,945,voiture,convergente,non,58.7,+0.01,+0.0,1.5,0.0,+1.5,136.37,136.30,0.00,SAFE,—
3.90,945,voiture,convergente,non,58.6,+0.01,+0.0,2.3,0.0,+2.3,90.53,90.44,0.00,SAFE,—
3.95,945,voiture,convergente,non,58.6,+0.01,+0.0,3.0,0.0,+3.0,71.04,70.97,0.01,SAFE,—
4.00,945,voiture,convergente,non,58.6,+0.02,+0.0,3.6,0.0,+3.6,58.06,58.05,0.01,SAFE,—
4.05,945,voiture,convergente,non,58.5,-0.00,+0.0,4.2,0.0,+4.2,49.90,49.88,0.01,SAFE,—
4.10,945,voiture,convergente,non,58.4,-0.00,+0.0,5.0,0.0,+5.0,41.82,41.81,0.02,SAFE,—
4.15,945,voiture,convergente,non,58.4,+0.01,+0.0,5.8,0.0,+5.8,36.12,36.10,0.02,SAFE,—
4.20,945,voiture,convergente,non,58.3,+0.01,+0.0,6.5,0.0,+6.5,32.47,32.46,0.03,SAFE,—
4.25,945,voiture,convergente,non,58.2,+0.01,+0.0,7.4,0.0,+7.4,28.29,28.29,0.04,SAFE,—
4.30,945,voiture,convergente,non,58.1,+0.01,+0.0,8.0,0.0,+8.0,26.05,26.04,0.04,SAFE,—
4.35,945,voiture,convergente,non,58.0,-0.00,+0.0,8.8,0.0,+8.8,23.83,23.83,0.05,SAFE,—
4.40,945,voiture,convergente,non,57.8,-0.02,+0.1,9.3,0.0,+9.3,22.29,22.29,0.06,SAFE,—
4.45,945,voiture,convergente,non,57.7,-0.02,+0.1,10.1,0.0,+10.1,20.53,20.53,0.07,SAFE,—
4.50,945,voiture,convergente,non,57.5,-0.04,+0.1,10.7,0.0,+10.7,19.33,19.33,0.08,SAFE,—
4.55,945,voiture,convergente,non,57.4,-0.04,+0.1,11.5,0.0,+11.5,18.04,18.04,0.09,SAFE,—
4.60,945,voiture,convergente,non,57.2,-0.05,+0.1,12.1,0.0,+12.1,17.09,17.09,0.10,SAFE,—
4.65,945,voiture,convergente,non,57.1,-0.04,+0.1,12.7,0.0,+12.7,16.12,16.12,0.11,SAFE,—
4.70,945,voiture,convergente,non,56.9,-0.04,+0.1,13.4,0.0,+13.4,15.33,15.33,0.12,SAFE,—
4.75,945,voiture,convergente,non,56.7,-0.04,+0.1,14.0,0.0,+14.0,14.62,14.62,0.13,SAFE,—
4.80,945,voiture,convergente,non,56.5,-0.04,+0.1,14.5,0.0,+14.5,14.02,14.02,0.14,SAFE,—
4.85,945,voiture,convergente,non,56.3,-0.04,+0.1,15.0,0.0,+15.0,13.47,13.47,0.16,SAFE,—
4.90,945,voiture,convergente,non,56.1,-0.04,+0.1,15.5,0.0,+15.5,13.01,13.01,0.17,SAFE,—
4.95,945,voiture,convergente,non,55.8,-0.04,+0.1,16.0,0.0,+16.0,12.59,12.59,0.18,SAFE,—
5.00,945,voiture,convergente,non,55.6,-0.04,+0.1,16.4,0.0,+16.4,12.22,12.22,0.19,SAFE,—
5.05,945,voiture,convergente,non,55.4,-0.03,+0.1,16.8,0.0,+16.8,11.89,11.89,0.20,SAFE,—
5.10,945,voiture,convergente,non,55.2,-0.03,+0.1,17.1,0.0,+17.1,11.58,11.58,0.21,SAFE,—
5.15,945,voiture,convergente,non,54.9,-0.02,+0.1,17.5,0.0,+17.5,11.31,11.31,0.21,SAFE,—
5.20,945,voiture,convergente,non,54.7,-0.02,+0.1,17.8,0.0,+17.8,11.05,11.05,0.22,SAFE,—
5.25,945,voiture,convergente,non,54.4,-0.02,+0.1,18.1,0.0,+18.1,10.83,10.83,0.23,SAFE,—
5.30,945,voiture,convergente,non,54.2,-0.03,+0.1,18.1,0.0,+18.1,10.76,10.76,0.23,SAFE,—
5.35,945,voiture,convergente,non,53.9,-0.02,+0.1,18.3,0.0,+18.3,10.63,10.63,0.24,SAFE,—
5.40,945,voiture,convergente,non,53.7,-0.01,+0.0,18.4,0.0,+18.4,10.51,10.51,0.24,SAFE,—
5.45,945,voiture,convergente,non,53.4,-0.00,+0.0,18.3,0.0,+18.3,10.50,10.50,0.24,SAFE,—
5.50,945,voiture,convergente,non,53.1,+0.01,+0.0,18.0,0.0,+18.0,10.60,10.60,0.24,SAFE,—
5.55,945,voiture,convergente,non,52.9,+0.02,+0.0,18.5,0.0,+18.5,10.28,10.28,0.25,SAFE,—
