t,id_autre,type_autre,relation,meme_voie,distance_m,ecart_lateral_m,cap_relatif_deg,vitesse_ego_kmh,vitesse_autre_kmh,vitesse_relative_kmh,ttc_s,thw_s,drac,niveau,metrique_decisive
5.60,945,voiture,convergente,non,52.6,+0.02,+0.0,18.4,0.0,+18.4,10.32,10.32,0.25,SAFE,—
5.65,945,voiture,convergente,non,52.4,+0.03,+0.0,18.3,0.0,+18.3,10.28,10.28,0.25,SAFE,—
5.70,945,voiture,convergente,non,52.1,+0.03,+0.0,18.2,0.0,+18.2,10.31,10.31,0.24,SAFE,—
5.75,945,voiture,convergente,non,51.9,+0.03,+0.0,18.2,0.0,+18.2,10.25,10.25,0.25,SAFE,—
5.80,945,voiture,convergente,non,51.6,+0.03,+0.0,18.1,0.0,+18.1,10.27,10.27,0.24,SAFE,—
5.85,945,voiture,convergente,non,51.4,+0.03,+0.0,18.2,0.0,+18.2,10.17,10.17,0.25,SAFE,—
5.90,945,voiture,convergente,non,51.1,+0.02,+0.0,18.1,0.0,+18.1,10.15,10.15,0.25,SAFE,—
5.95,945,voiture,convergente,non,50.9,+0.01,+0.0,18.3,0.0,+18.3,10.02,10.02,0.25,SAFE,—
6.00,945,voiture,convergente,non,50.6,+0.01,+0.0,18.3,0.0,+18.3,9.98,9.98,0.25,SAFE,—
6.05,945,voiture,convergente,non,50.4,+0.00,+0.0,18.4,0.0,+18.4,9.86,9.86,0.26,SAFE,—
6.10,945,voiture,convergente,non,50.1,-0.01,+0.0,18.4,0.0,+18.4,9.82,9.82,0.26,SAFE,—
6.15,945,voiture,convergente,non,49.8,-0.02,+0.1,18.5,0.0,+18.5,9.69,9.69,0.27,SAFE,—
6.20,945,voiture,convergente,non,49.6,-0.03,+0.1,18.5,0.0,+18.5,9.65,9.65,0.27,SAFE,—
6.25,945,voiture,convergente,non,49.3,-0.04,+0.1,18.7,0.0,+18.7,9.52,9.52,0.27,SAFE,—
6.30,945,voiture,convergente,non,49.1,-0.05,+0.1,18.7,0.0,+18.7,9.46,9.46,0.27,SAFE,—
6.35,945,voiture,convergente,non,48.8,-0.04,+0.1,18.8,0.0,+18.8,9.37,9.37,0.28,SAFE,—
6.40,945,voiture,convergente,non,48.5,-0.03,+0.1,18.7,0.0,+18.7,9.33,9.33,0.28,SAFE,—
6.45,945,voiture,convergente,non,48.3,-0.01,+0.0,18.9,0.0,+18.9,9.22,9.22,0.28,SAFE,—
6.50,945,voiture,convergente,non,48.0,+0.00,+0.0,18.8,0.0,+18.8,9.18,9.18,0.28,SAFE,—
6.55,945,voiture,convergente,non,47.8,+0.03,+0.0,19.0,0.0,+19.0,9.06,9.06,0.29,SAFE,—
6.60,945,voiture,convergente,non,47.5,+0.05,+0.0,19.0,0.0,+19.0,9.02,9.02,0.29,SAFE,—
6.65,945,voiture,convergente,non,47.2,+0.07,+0.1,19.1,0.0,+19.1,8.92,8.92,0.30,SAFE,—
6.70,945,voiture,convergente,non,47.0,+0.09,+0.1,19.0,0.0,+19.0,8.88,8.88,0.30,SAFE,—
6.75,945,voiture,convergente,non,46.7,+0.11,+0.1,19.2,0.0,+19.2,8.78,8.78,0.30,SAFE,—
6.80,945,voiture,convergente,non,46.4,+0.12,+0.1,19.1,0.0,+19.1,8.75,8.75,0.30,SAFE,—
6.85,945,voiture,convergente,non,46.2,+0.13,+0.1,19.2,0.0,+19.2,8.64,8.64,0.31,SAFE,—
6.90,945,voiture,convergente,non,45.9,+0.14,+0.2,19.2,0.0,+19.2,8.61,8.61,0.31,SAFE,—
6.95,945,voiture,convergente,non,45.6,+0.15,+0.2,19.3,0.0,+19.3,8.51,8.51,0.32,SAFE,—
7.00,945,voiture,convergente,non,45.4,+0.15,+0.2,19.3,0.0,+19.3,8.48,8.48,0.32,SAFE,—
7.05,945,voiture,convergente,non,45.1,+0.15,+0.2,19.4,0.0,+19.4,8.38,8.38,0.32,SAFE,—
7.10,945,voiture,convergente,non,44.8,+0.15,+0.2,19.3,0.0,+19.3,8.35,8.35,0.32,SAFE,—
7.15,945,voiture,convergente,non,44.6,+0.15,+0.2,19.4,0.0,+19.4,8.25,8.25,0.33,SAFE,—
7.20,945,voiture,convergente,non,44.3,+0.15,+0.2,19.4,0.0,+19.4,8.22,8.22,0.33,SAFE,—
7.25,945,voiture,convergente,non,44.0,+0.14,+0.2,19.5,0.0,+19.5,8.13,8.13,0.33,SAFE,—
7.30,945,voiture,convergente,non,43.8,+0.14,+0.2,19.4,0.0,+19.4,8.10,8.10,0.33,SAFE,—
7.35,945,voiture,convergente,non,43.5,+0.13,+0.1,19.5,0.0,+19.5,8.01,8.01,0.34,SAFE,—
7.40,945,voiture,convergente,non,43.2,+0.12,+0.1,19.5,0.0,+19.5,7.98,7.98,0.34,SAFE,—
7.45,945,voiture,convergente,non,42.9,+0.12,+0.1,19.6,0.0,+19.6,7.89,7.89,0.34,SAFE,—
7.50,945,voiture,convergente,non,42.7,+0.11,+0.1,19.5,0.0,+19.5,7.87,7.87,0.34,SAFE,—
7.55,945,voiture,convergente,non,42.4,+0.10,+0.1,19.6,0.0,+19.6,7.78,7.78,0.35,SAFE,—
7.60,945,voiture,convergente,non,42.1,+0.10,+0.1,19.6,0.0,+19.6,7.76,7.76,0.35,SAFE,—
7.65,945,voiture,convergente,non,41.9,+0.09,+0.1,19.6,0.0,+19.6,7.67,7.67,0.36,SAFE,—
7.70,945,voiture,convergente,non,41.6,+0.09,+0.1,19.6,0.0,+19.6,7.64,7.64,0.36,SAFE,—
7.75,945,voiture,convergente,non,41.3,+0.08,+0.1,19.7,0.0,+19.7,7.56,7.56,0.36,SAFE,—
7.80,945,voiture,convergente,non,41.0,+0.08,+0.1,19.6,0.0,+19.6,7.53,7.53,0.36,SAFE,—
7.85,945,voiture,convergente,non,40.8,+0.07,+0.1,19.7,0.0,+19.7,7.45,7.45,0.37,SAFE,—
7.90,945,voiture,convergente,non,40.5,+0.07,+0.1,19.6,0.0,+19.6,7.43,7.43,0.37,SAFE,—
7.95,945,voiture,meme_voie,oui,40.2,+0.00,+0.1,19.7,0.0,+19.7,7.34,7.34,0.37,SAFE,—
8.00,945,voiture,meme_voie,oui,39.9,+0.00,+0.0,19.6,0.0,+19.6,7.32,7.32,0.37,SAFE,—
8.05,945,voiture,meme_voie,oui,39.7,+0.00,+0.0,19.7,0.0,+19.7,7.24,7.24,0.38,SAFE,—
8.10,945,voiture,meme_voie,oui,39.4,+0.00,+0.0,19.7,0.0,+19.7,7.21,7.21,0.38,SAFE,—
8.15,945,voiture,meme_voie,oui,39.1,+0.00,+0.0,19.7,0.0,+19.7,7.13,7.13,0.38,SAFE,—
8.20,945,voiture,meme_voie,oui,38.9,+0.00,+0.0,19.7,0.0,+19.7,7.11,7.11,0.38,SAFE,—
8.25,945,voiture,meme_voie,oui,38.6,+0.00,+0.0,19.8,0.0,+19.8,7.03,7.03,0.39,SAFE,—
8.30,945,voiture,meme_voie,oui,38.3,+0.00,+0.0,19.7,0.0,+19.7,7.01,7.01,0.39,SAFE,—
8.35,945,voiture,meme_voie,oui,38.0,+0.00,+0.0,19.8,0.0,+19.8,6.93,6.93,0.40,SAFE,—
8.40,945,voiture,meme_voie,oui,37.8,+0.00,+0.0,19.7,0.0,+19.7,6.90,6.90,0.40,SAFE,—
8.45,945,voiture,meme_voie,oui,37.5,+0.00,+0.0,19.8,0.0,+19.8,6.82,6.82,0.40,SAFE,—
8.50,945,voiture,meme_voie,oui,37.2,+0.00,+0.0,19.7,0.0,+19.7,6.80,6.80,0.40,SAFE,—
8.55,945,voiture,meme_voie,oui,36.9,+0.00,+0.0,19.8,0.0,+19.8,6.72,6.72,0.41,SAFE,—
8.60,945,voiture,meme_voie,oui,36.7,+0.00,+0.0,19.7,0.0,+19.7,6.70,6.70,0.41,SAFE,—
8.65,945,voiture,meme_voie,oui,36.4,+0.00,+0.0,19.8,0.0,+19.8,6.62,6.62,0.42,SAFE,—
8.70,945,voiture,meme_voie,oui,36.1,+0.00,+0.0,19.7,0.0,+19.7,6.60,6.60,0.41,SAFE,—
8.75,945,voiture,meme_voie,oui,35.8,+0.00,+0.0,19.8,0.0,+19.8,6.52,6.52,0.42,SAFE,—
8.80,945,voiture,meme_voie,oui,35.6,+0.00,+0.0,19.7,0.0,+19.7,6.50,6.50,0.42,SAFE,—
8.85,945,voiture,meme_voie,oui,35.3,+0.00,+0.0,19.8,0.0,+19.8,6.42,6.42,0.43,SAFE,—
8.90,945,voiture,meme_voie,oui,35.0,+0.00,+0.0,19.7,0.0,+19.7,6.39,6.39,0.43,SAFE,—
8.95,945,voiture,meme_voie,oui,34.7,+0.00,+0.0,19.8,0.0,+19.8,6.32,6.32,0.44,SAFE,—
9.00,945,voiture,meme_voie,oui,34.5,+0.00,+0.0,19.7,0.0,+19.7,6.29,6.29,0.44,SAFE,—
9.05,945,voiture,meme_voie,oui,34.2,+0.00,+0.0,19.8,0.0,+19.8,6.22,6.22,0.44,SAFE,—
9.10,945,voiture,meme_voie,oui,33.9,+0.00,+0.0,19.7,0.0,+19.7,6.19,6.19,0.44,SAFE,—
9.15,945,voiture,meme_voie,oui,33.6,+0.00,+0.0,19.8,0.0,+19.8,6.12,6.12,0.45,SAFE,—
9.20,945,voiture,meme_voie,oui,33.4,+0.00,+0.0,19.7,0.0,+19.7,6.09,6.09,0.45,SAFE,—
9.25,945,voiture,meme_voie,oui,33.1,+0.00,+0.0,19.8,0.0,+19.8,6.02,6.02,0.46,SAFE,—
9.30,945,voiture,meme_voie,oui,32.8,+0.00,+0.0,19.7,0.0,+19.7,5.99,5.99,0.46,SAFE,—
9.35,945,voiture,meme_voie,oui,32.5,+0.00,+0.0,19.8,0.0,+19.8,5.92,5.92,0.46,SAFE,—
9.40,945,voiture,meme_voie,oui,32.3,+0.00,+0.0,19.7,0.0,+19.7,5.89,5.89,0.46,SAFE,—
9.45,945,voiture,meme_voie,oui,32.0,+0.00,+0.0,19.8,0.0,+19.8,5.82,5.82,0.47,SAFE,—
9.50,945,voiture,meme_voie,oui,31.7,+0.00,+0.0,19.7,0.0,+19.7,5.79,5.79,0.47,SAFE,—
9.55,945,voiture,meme_voie,oui,31.4,+0.00,+0.0,19.8,0.0,+19.8,5.72,5.72,0.48,SAFE,—
9.60,945,voiture,meme_voie,oui,31.2,+0.00,+0.0,19.7,0.0,+19.7,5.69,5.69,0.48,SAFE,—
9.65,945,voiture,meme_voie,oui,30.9,+0.00,+0.0,19.8,0.0,+19.8,5.62,5.62,0.49,SAFE,—
9.70,945,voiture,meme_voie,oui,30.6,+0.00,+0.0,19.7,0.0,+19.7,5.59,5.59,0.49,SAFE,—
9.75,945,voiture,meme_voie,oui,30.3,+0.00,+0.0,19.8,0.0,+19.8,5.52,5.52,0.50,SAFE,—
9.80,945,voiture,meme_voie,oui,30.1,+0.00,+0.0,19.7,0.0,+19.7,5.49,5.49,0.50,SAFE,—
9.85,945,voiture,meme_voie,oui,29.8,+0.00,+0.0,19.8,0.0,+19.8,5.42,5.42,0.51,SAFE,—
9.90,945,voiture,meme_voie,oui,29.5,+0.00,+0.0,19.7,0.0,+19.7,5.39,5.39,0.51,SAFE,—
9.95,945,voiture,meme_voie,oui,29.2,+0.00,+0.0,19.8,0.0,+19.8,5.32,5.32,0.52,SAFE,—
10.00,945,voiture,meme_voie,oui,29.0,+0.00,+0.0,19.7,0.0,+19.7,5.29,5.29,0.52,SAFE,—
10.05,945,voiture,meme_voie,oui,28.7,+0.00,+0.0,19.8,0.0,+19.8,5.22,5.22,0.53,SAFE,—
10.10,945,voiture,meme_voie,oui,28.4,+0.00,+0.0,19.7,0.0,+19.7,5.19,5.19,0.53,SAFE,—
10.15,945,voiture,meme_voie,oui,28.2,+0.00,+0.0,19.8,0.0,+19.8,5.12,5.12,0.54,SAFE,—
10.20,945,voiture,meme_voie,oui,27.9,+0.00,+0.0,19.7,0.0,+19.7,5.09,5.09,0.54,SAFE,—
10.25,945,voiture,meme_voie,oui,27.6,+0.00,+0.0,19.8,0.0,+19.8,5.02,5.02,0.55,SAFE,—
10.30,945,voiture,meme_voie,oui,27.3,+0.00,+0.0,19.7,0.0,+19.7,4.99,4.99,0.55,SAFE,—
10.35,945,voiture,meme_voie,oui,27.1,+0.00,+0.0,19.8,0.0,+19.8,4.92,4.92,0.56,SAFE,—
10.40,945,voiture,meme_voie,oui,26.8,+0.00,+0.0,19.7,0.0,+19.7,4.89,4.89,0.56,SAFE,—
10.45,945,voiture,meme_voie,oui,26.5,+0.00,+0.0,19.8,0.0,+19.8,4.82,4.82,0.57,SAFE,—
10.50,945,voiture,meme_voie,oui,26.2,+0.00,+0.0,19.7,0.0,+19.7,4.79,4.79,0.57,SAFE,—
10.55,945,voiture,meme_voie,oui,26.0,+0.00,+0.0,19.8,0.0,+19.8,4.72,4.72,0.58,SAFE,—
10.60,945,voiture,meme_voie,oui,25.7,+0.00,+0.0,19.7,0.0,+19.7,4.69,4.69,0.58,SAFE,—
10.65,945,voiture,meme_voie,oui,25.4,+0.00,+0.0,19.8,0.0,+19.8,4.62,4.62,0.60,SAFE,—
10.70,945,voiture,meme_voie,oui,25.1,+0.00,+0.0,19.7,0.0,+19.7,4.59,4.59,0.60,SAFE,—
10.75,945,voiture,meme_voie,oui,24.9,+0.00,+0.0,19.8,0.0,+19.8,4.52,4.52,0.61,SAFE,—
10.80,945,voiture,meme_voie,oui,24.6,+0.00,+0.0,19.7,0.0,+19.7,4.49,4.49,0.61,SAFE,—
10.85,945,voiture,meme_voie,oui,24.3,+0.00,+0.0,19.8,0.0,+19.8,4.42,4.42,0.62,SAFE,—
10.90,945,voiture,meme_voie,oui,24.0,+0.00,+0.0,19.7,0.0,+19.7,4.39,4.39,0.62,SAFE,—
10.95,945,voiture,meme_voie,oui,23.8,+0.00,+0.0,19.8,0.0,+19.8,4.32,4.32,0.64,SAFE,—
11.00,945,voiture,meme_voie,oui,23.5,+0.00,+0.0,19.7,0.0,+19.7,4.29,4.29,0.64,SAFE,—
11.05,945,voiture,meme_voie,oui,23.2,+0.00,+0.0,19.8,0.0,+19.8,4.22,4.22,0.65,SAFE,—
11.10,945,voiture,meme_voie,oui,22.9,+0.00,+0.0,19.7,0.0,+19.7,4.19,4.19,0.65,SAFE,—
11.15,945,voiture,meme_voie,oui,22.7,+0.00,+0.0,19.8,0.0,+19.8,4.12,4.12,0.67,SAFE,—
11.20,945,voiture,meme_voie,oui,22.4,+0.00,+0.0,19.7,0.0,+19.7,4.09,4.09,0.67,SAFE,—
11.25,945,voiture,meme_voie,oui,22.1,+0.00,+0.0,19.8,0.0,+19.8,4.02,4.02,0.68,SAFE,—
11.30,945,voiture,meme_voie,oui,21.8,+0.00,+0.0,19.7,0.0,+19.7,3.99,3.99,0.69,WATCH,TTC
11.35,945,voiture,meme_voie,oui,21.6,+0.00,+0.0,19.7,0.0,+19.7,3.94,3.94,0.70,WATCH,TTC
11.40,945,voiture,meme_voie,oui,21.3,+0.00,+0.0,19.4,0.0,+19.4,3.95,3.95,0.68,WATCH,TTC
11.45,945,voiture,meme_voie,oui,21.0,+0.00,+0.0,19.2,0.0,+19.2,3.94,3.94,0.68,WATCH,TTC
11.50,945,voiture,meme_voie,oui,20.8,+0.00,+0.0,18.7,0.0,+18.7,3.99,3.99,0.65,WATCH,TTC
11.55,945,voiture,meme_voie,oui,20.5,+0.00,+0.0,18.4,0.0,+18.4,4.01,4.01,0.64,SAFE,—
11.60,945,voiture,meme_voie,oui,20.3,+0.00,+0.0,17.9,0.0,+17.9,4.07,4.07,0.61,SAFE,—
11.65,945,voiture,meme_voie,oui,20.0,+0.00,+0.0,18.1,0.0,+18.1,3.98,3.98,0.63,WATCH,TTC
11.70,945,voiture,meme_voie,oui,19.8,+0.00,+0.0,18.0,0.0,+18.0,3.94,3.94,0.64,WATCH,TTC
11.75,945,voiture,meme_voie,oui,19.5,+0.00,+0.0,15.7,0.0,+15.7,4.47,4.47,0.49,SAFE,—
11.80,945,voiture,meme_voie,oui,19.3,+0.00,+0.0,14.9,0.0,+14.9,4.68,4.68,0.44,SAFE,—
11.85,945,voiture,meme_voie,oui,19.1,+0.00,+0.0,15.0,0.0,+15.0,4.58,4.58,0.46,SAFE,—
11.90,945,voiture,meme_voie,oui,18.9,+0.00,+0.0,15.3,0.0,+15.3,4.45,4.45,0.48,SAFE,—
11.95,945,voiture,meme_voie,oui,18.7,+0.00,+0.0,15.6,0.0,+15.6,4.30,4.30,0.50,SAFE,—
12.00,945,voiture,meme_voie,oui,18.5,+0.00,+0.0,16.0,0.0,+16.0,4.15,4.15,0.53,SAFE,—
12.05,945,voiture,meme_voie,oui,18.2,+0.00,+0.0,16.4,0.0,+16.4,4.01,4.01,0.57,SAFE,—
12.10,945,voiture,meme_voie,oui,18.0,+0.00,+0.0,16.7,0.0,+16.7,3.88,3.88,0.60,WATCH,TTC
12.15,945,voiture,meme_voie,oui,17.8,+0.00,+0.0,16.9,0.0,+16.9,3.79,3.79,0.62,WATCH,TTC
12.20,945,voiture,meme_voie,oui,17.5,+0.00,+0.0,16.8,0.0,+16.8,3.77,3.77,0.62,WATCH,TTC
12.25,945,voiture,meme_voie,oui,17.3,+0.00,+0.0,16.5,0.0,+16.5,3.78,3.78,0.60,WATCH,TTC
12.30,945,voiture,meme_voie,oui,17.1,+0.00,+0.0,16.1,0.0,+16.1,3.82,3.82,0.59,WATCH,TTC
12.35,945,voiture,meme_voie,oui,16.9,+0.00,+0.0,15.7,0.0,+15.7,3.87,3.87,0.56,WATCH,TTC
12.40,945,voiture,meme_voie,oui,16.6,+0.00,+0.0,15.3,0.0,+15.3,3.92,3.92,0.54,WATCH,TTC
12.45,945,voiture,meme_voie,oui,16.4,+0.00,+0.0,14.8,0.0,+14.8,3.99,3.99,0.52,WATCH,TTC
12.50,945,voiture,meme_voie,oui,16.2,+0.00,+0.0,14.4,0.0,+14.4,4.05,4.05,0.49,SAFE,—
12.55,945,voiture,meme_voie,oui,16.0,+0.00,+0.0,14.1,0.0,+14.1,4.08,4.08,0.48,SAFE,—
12.60,945,voiture,meme_voie,oui,15.8,+0.00,+0.0,14.1,0.0,+14.1,4.05,4.05,0.48,SAFE,—
12.65,945,voiture,meme_voie,oui,15.6,+0.00,+0.0,14.2,0.0,+14.2,3.96,3.96,0.50,WATCH,TTC
12.70,945,voiture,meme_voie,oui,15.4,+0.00,+0.0,14.4,0.0,+14.4,3.87,3.87,0.52,WATCH,TTC
12.75,945,voiture,meme_voie,oui,15.2,+0.00,+0.0,14.3,0.0,+14.3,3.85,3.85,0.51,WATCH,TTC
12.80,945,voiture,meme_voie,oui,15.1,+0.00,+0.0,14.0,0.0,+14.0,3.86,3.86,0.50,WATCH,TTC
12.85,945,voiture,meme_voie,oui,14.9,+0.00,+0.0,13.7,0.0,+13.7,3.91,3.91,0.49,WATCH,TTC
12.90,945,voiture,meme_voie,oui,14.7,+0.00,+0.0,13.3,0.0,+13.3,3.96,3.96,0.47,WATCH,TTC
12.95,945,voiture,meme_voie,oui,14.5,+0.00,+0.0,13.0,0.0,+13.0,4.03,4.03,0.45,SAFE,—
13.00,945,voiture,meme_voie,oui,14.3,+0.00,+0.0,12.7,0.0,+12.7,4.05,4.05,0.44,SAFE,—
13.05,945,voiture,meme_voie,oui,14.1,+0.00,+0.0,12.7,0.0,+12.7,4.02,4.02,0.44,SAFE,—
13.10,945,voiture,meme_voie,oui,14.0,+0.00,+0.0,12.9,0.0,+12.9,3.90,3.90,0.46,WATCH,TTC
13.15,945,voiture,meme_voie,oui,13.8,+0.00,+0.0,13.1,0.0,+13.1,3.80,3.80,0.48,WATCH,TTC
13.20,945,voiture,meme_voie,oui,13.6,+0.00,+0.0,13.0,0.0,+13.0,3.76,3.76,0.48,WATCH,TTC
13.25,945,voiture,meme_voie,oui,13.4,+0.00,+0.0,12.8,0.0,+12.8,3.77,3.77,0.47,WATCH,TTC
13.30,945,voiture,meme_voie,oui,13.2,+0.00,+0.0,12.5,0.0,+12.5,3.80,3.80,0.46,WATCH,TTC
13.35,945,voiture,meme_voie,oui,13.1,+0.00,+0.0,12.2,0.0,+12.2,3.86,3.86,0.44,WATCH,TTC
13.40,945,voiture,meme_voie,oui,12.9,+0.00,+0.0,11.9,0.0,+11.9,3.92,3.92,0.42,WATCH,TTC
13.45,945,voiture,meme_voie,oui,12.7,+0.00,+0.0,11.5,0.0,+11.5,4.00,4.00,0.40,SAFE,—
13.50,945,voiture,meme_voie,oui,12.6,+0.00,+0.0,11.3,0.0,+11.3,4.03,4.03,0.39,SAFE,—
13.55,945,voiture,meme_voie,oui,12.4,+0.00,+0.0,11.2,0.0,+11.2,3.99,3.99,0.39,WATCH,TTC
13.60,945,voiture,meme_voie,oui,12.3,+0.00,+0.0,11.3,0.0,+11.3,3.92,3.92,0.40,WATCH,TTC
13.65,945,voiture,meme_voie,oui,12.1,+0.00,+0.0,11.2,0.0,+11.2,3.91,3.91,0.40,WATCH,TTC
13.70,945,voiture,meme_voie,oui,12.0,+0.00,+0.0,11.0,0.0,+11.0,3.93,3.93,0.39,WATCH,TTC
13.75,945,voiture,meme_voie,oui,11.8,+0.00,+0.0,10.7,0.0,+10.7,3.99,3.99,0.37,WATCH,TTC
13.80,945,voiture,meme_voie,oui,11.7,+0.00,+0.0,10.4,0.0,+10.4,4.05,4.05,0.36,SAFE,—
13.85,945,voiture,meme_voie,oui,11.5,+0.00,+0.0,10.2,0.0,+10.2,4.09,4.09,0.35,SAFE,—
13.90,945,voiture,meme_voie,oui,11.4,+0.00,+0.0,10.2,0.0,+10.2,4.03,4.03,0.35,SAFE,—
13.95,945,voiture,meme_voie,oui,11.2,+0.00,+0.0,10.4,0.0,+10.4,3.90,3.90,0.37,WATCH,TTC
