t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,obstacle_statique_m,recommandation
0.05,0.1,5.3,SAFE,0,,Voie libre
0.10,0.2,7.1,SAFE,0,,Voie libre
0.15,0.3,8.8,SAFE,0,,Voie libre
0.20,0.4,10.6,SAFE,0,,Voie libre
0.25,0.6,12.3,SAFE,0,,Voie libre
0.30,0.7,14.1,SAFE,0,,Voie libre
0.35,1.0,15.9,SAFE,0,,Voie libre
0.40,1.2,17.6,SAFE,0,,Voie libre
0.45,1.5,19.4,SAFE,0,,Voie libre
0.50,1.7,21.2,SAFE,0,,Voie libre
0.55,2.0,13.9,SAFE,0,,Voie libre
0.60,2.0,0.7,SAFE,0,,Voie libre
0.65,2.0,0.9,SAFE,0,,Voie libre
0.70,2.0,0.9,SAFE,0,,Voie libre
0.75,2.1,0.8,SAFE,0,,Voie libre
0.80,2.1,0.6,SAFE,0,,Voie libre
0.85,2.1,0.5,SAFE,0,,Voie libre
0.90,2.1,0.3,SAFE,0,,Voie libre
0.95,2.1,2.7,SAFE,0,,Voie libre
1.00,2.2,4.6,SAFE,0,,Voie libre
1.05,2.2,6.3,SAFE,0,,Voie libre
1.10,2.3,7.3,SAFE,0,,Voie libre
1.15,2.4,8.0,SAFE,0,,Voie libre
1.20,2.6,8.8,SAFE,0,,Voie libre
1.25,2.7,9.3,SAFE,0,,Voie libre
1.30,2.8,9.9,SAFE,0,,Voie libre
1.35,3.0,10.4,SAFE,0,,Voie libre
1.40,3.1,11.0,SAFE,0,,Voie libre
1.45,3.3,11.4,SAFE,0,,Voie libre
1.50,3.4,12.0,SAFE,0,,Voie libre
1.55,3.6,12.4,SAFE,0,,Voie libre
1.60,3.8,12.9,SAFE,0,,Voie libre
1.65,4.0,13.3,SAFE,0,,Voie libre
1.70,4.1,13.7,SAFE,0,,Voie libre
1.75,4.3,14.1,SAFE,0,,Voie libre
1.80,4.5,14.4,SAFE,0,,Voie libre
1.85,4.7,14.8,SAFE,0,,Voie libre
1.90,4.9,15.1,SAFE,0,,Voie libre
1.95,5.2,15.4,SAFE,0,,Voie libre
2.00,5.4,15.6,SAFE,0,,Voie libre
2.05,5.6,15.9,SAFE,0,,Voie libre
2.10,5.8,16.1,SAFE,0,,Voie libre
2.15,6.0,16.4,SAFE,0,,Voie libre
2.20,6.3,16.6,SAFE,0,,Voie libre
2.25,6.5,16.8,SAFE,0,,Voie libre
2.30,6.7,17.0,SAFE,0,,Voie libre
2.35,7.0,17.2,SAFE,0,,Voie libre
2.40,7.2,17.3,SAFE,0,,Voie libre
2.45,7.5,17.5,SAFE,0,,Voie libre
2.50,7.7,17.6,SAFE,0,,Voie libre
2.55,7.9,17.8,SAFE,0,,Voie libre
2.60,8.2,17.9,SAFE,0,,Voie libre
2.65,8.4,18.0,SAFE,0,,Voie libre
2.70,8.7,18.1,SAFE,0,,Voie libre
2.75,8.9,18.2,SAFE,0,,Voie libre
2.80,9.2,18.1,SAFE,0,,Voie libre
2.85,9.4,18.1,SAFE,0,,Voie libre
2.90,9.7,18.1,SAFE,0,,Voie libre
2.95,9.9,18.1,SAFE,0,,Voie libre
3.00,10.2,17.8,SAFE,0,,Voie libre
3.05,10.4,18.2,SAFE,0,,Voie libre
3.10,10.7,18.1,SAFE,0,,Voie libre
3.15,11.0,18.1,SAFE,0,,Voie libre
3.20,11.2,18.3,SAFE,0,,Voie libre
3.25,11.5,18.0,SAFE,0,,Voie libre
3.30,11.7,18.2,SAFE,0,,Voie libre
3.35,12.0,18.0,SAFE,0,,Voie libre
3.40,12.2,18.2,SAFE,0,,Voie libre
3.45,12.5,18.0,SAFE,0,,Voie libre
3.50,12.7,18.3,SAFE,0,,Voie libre
3.55,13.0,18.1,SAFE,0,,Voie libre
3.60,13.2,18.1,SAFE,0,,Voie libre
3.65,13.5,18.2,SAFE,0,,Voie libre
3.70,13.7,18.1,SAFE,0,,Voie libre
3.75,14.0,18.3,SAFE,1,,Situation maîtrisée
3.80,14.2,18.5,WATCH,1,,Vigilance — situation à la limite
3.85,14.5,17.9,SAFE,1,,Situation maîtrisée
3.90,14.7,18.2,WATCH,1,,Vigilance — situation à la limite
3.95,15.0,18.0,WATCH,1,,Vigilance — situation à la limite
4.00,15.2,16.7,SAFE,1,,Situation maîtrisée
4.05,15.5,16.1,SAFE,1,,Situation maîtrisée
4.10,15.7,16.2,SAFE,1,,Situation maîtrisée
4.15,15.9,16.3,WATCH,1,,Vigilance — situation à la limite
4.20,16.1,16.3,WATCH,1,,Vigilance — situation à la limite
4.25,16.4,16.1,WATCH,1,,Ralentissez de 1 km/h  (16 -> 15 km/h)
4.30,16.6,15.8,WATCH,1,,Ralentissez de 1 km/h  (16 -> 14 km/h)
4.35,16.8,15.4,WATCH,1,,Ralentissez de 1 km/h  (15 -> 14 km/h)
4.40,17.0,15.0,WATCH,1,,Ralentissez de 2 km/h  (15 -> 13 km/h)
4.45,17.2,14.6,SAFE,1,,Situation maîtrisée
4.50,17.4,14.3,SAFE,1,,Situation maîtrisée
4.55,17.6,14.2,SAFE,1,,Situation maîtrisée
4.60,17.8,14.3,SAFE,1,,Situation maîtrisée
4.65,18.0,14.5,SAFE,1,,Situation maîtrisée
