t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,obstacle_statique_m,recommandation
0.05,0.1,5.3,SAFE,0,,Voie libre
0.10,0.2,7.1,SAFE,0,,Voie libre
0.15,0.3,8.8,SAFE,0,,Voie libre
0.20,0.4,4.3,SAFE,0,,Voie libre
0.25,0.4,1.5,SAFE,0,,Voie libre
0.30,0.4,0.1,SAFE,0,,Voie libre
0.35,0.4,0.4,SAFE,0,,Voie libre
0.40,0.4,0.6,SAFE,0,,Voie libre
0.45,0.4,0.5,SAFE,0,,Voie libre
0.50,0.4,0.5,SAFE,0,,Voie libre
0.55,0.4,0.4,SAFE,0,,Voie libre
0.60,0.4,0.3,SAFE,0,,Voie libre
0.65,0.4,0.2,SAFE,0,,Voie libre
0.70,0.4,1.5,SAFE,0,,Voie libre
0.75,0.5,4.1,SAFE,0,,Voie libre
0.80,0.6,5.8,SAFE,0,,Voie libre
0.85,0.6,7.2,SAFE,0,,Voie libre
0.90,0.8,8.2,SAFE,0,,Voie libre
0.95,0.9,9.0,SAFE,0,,Voie libre
1.00,1.0,9.8,SAFE,0,,Voie libre
1.05,1.2,10.5,SAFE,0,,Voie libre
1.10,1.3,11.3,SAFE,0,,Voie libre
1.15,1.5,11.9,SAFE,0,,Voie libre
1.20,1.6,12.6,SAFE,0,,Voie libre
1.25,1.8,13.3,SAFE,0,,Voie libre
1.30,2.0,13.9,SAFE,0,,Voie libre
1.35,2.2,14.5,SAFE,0,,Voie libre
1.40,2.4,15.0,SAFE,0,,Voie libre
1.45,2.6,15.5,SAFE,0,,Voie libre
1.50,2.8,15.9,SAFE,0,,Voie libre
1.55,3.1,16.4,SAFE,0,,Voie libre
1.60,3.3,16.7,SAFE,0,,Voie libre
1.65,3.5,17.1,SAFE,0,,Voie libre
1.70,3.8,17.4,SAFE,0,,Voie libre
1.75,4.0,17.7,SAFE,0,,Voie libre
1.80,4.3,18.0,SAFE,0,,Voie libre
1.85,4.5,18.2,SAFE,0,,Voie libre
1.90,4.8,18.3,SAFE,0,,Voie libre
1.95,5.0,18.1,SAFE,0,,Voie libre
2.00,5.3,18.3,SAFE,0,,Voie libre
2.05,5.5,18.1,SAFE,0,,Voie libre
2.10,5.8,18.3,SAFE,0,,Voie libre
2.15,6.0,18.4,SAFE,0,,Voie libre
2.20,6.3,18.2,SAFE,0,,Voie libre
2.25,6.5,18.2,SAFE,0,,Voie libre
2.30,6.8,18.1,SAFE,0,,Voie libre
2.35,7.0,18.1,SAFE,0,,Voie libre
2.40,7.3,18.1,SAFE,0,,Voie libre
2.45,7.6,18.2,SAFE,0,,Voie libre
2.50,7.8,18.2,SAFE,0,,Voie libre
2.55,8.1,18.3,SAFE,0,,Voie libre
2.60,8.3,18.3,SAFE,0,,Voie libre
2.65,8.6,18.5,SAFE,0,,Voie libre
2.70,8.8,18.5,SAFE,0,,Voie libre
2.75,9.1,18.7,SAFE,0,,Voie libre
2.80,9.3,18.7,SAFE,0,,Voie libre
2.85,9.6,18.8,SAFE,0,,Voie libre
2.90,9.9,18.8,SAFE,0,,Voie libre
2.95,10.1,19.0,SAFE,0,,Voie libre
3.00,10.4,19.0,SAFE,0,,Voie libre
3.05,10.7,19.1,SAFE,0,,Voie libre
3.10,10.9,19.1,SAFE,0,,Voie libre
3.15,11.2,19.2,SAFE,0,,Voie libre
3.20,11.5,19.2,SAFE,0,,Voie libre
3.25,11.7,19.3,SAFE,0,,Voie libre
3.30,12.0,19.3,CRITICAL,1,,FREINEZ de 19 km/h  (19 -> 0 km/h)
3.35,12.3,19.3,CRITICAL,1,,FREINEZ de 19 km/h  (19 -> 0 km/h)
3.40,12.5,19.0,CRITICAL,1,,FREINEZ de 19 km/h  (19 -> 0 km/h)
3.45,12.8,18.7,CRITICAL,1,,FREINEZ de 19 km/h  (19 -> 0 km/h)
3.50,13.0,13.8,CRITICAL,1,,FREINEZ de 14 km/h  (14 -> 0 km/h)
3.55,13.2,9.0,CRITICAL,1,,FREINEZ de 9 km/h  (9 -> 0 km/h)
3.60,13.2,4.3,CRITICAL,1,,FREINEZ de 4 km/h  (4 -> 0 km/h)
3.65,13.3,0.0,SAFE,1,,Situation maîtrisée
3.70,13.3,0.0,SAFE,1,,Situation maîtrisée
3.75,13.3,0.0,SAFE,1,,Situation maîtrisée
3.80,13.3,0.9,SAFE,1,,Situation maîtrisée
3.85,13.3,1.5,SAFE,1,,Situation maîtrisée
3.90,13.3,2.3,SAFE,1,,Situation maîtrisée
3.95,13.4,3.0,SAFE,1,,Situation maîtrisée
4.00,13.4,3.6,SAFE,1,,Situation maîtrisée
4.05,13.5,4.2,SAFE,1,,Situation maîtrisée
4.10,13.5,5.0,SAFE,1,,Situation maîtrisée
4.15,13.6,5.8,SAFE,1,,Situation maîtrisée
4.20,13.7,6.5,SAFE,1,,Situation maîtrisée
4.25,13.8,7.4,SAFE,1,,Situation maîtrisée
4.30,13.9,8.0,SAFE,1,,Situation maîtrisée
4.35,14.0,8.8,SAFE,1,,Situation maîtrisée
4.40,14.1,9.3,SAFE,1,,Situation maîtrisée
4.45,14.3,10.1,SAFE,1,,Situation maîtrisée
4.50,14.4,10.7,SAFE,1,,Situation maîtrisée
