t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,2,Situation maîtrisée
0.10,0.2,7.1,SAFE,2,Situation maîtrisée
0.15,0.3,8.8,SAFE,2,Situation maîtrisée
0.20,0.4,10.6,SAFE,2,Situation maîtrisée
0.25,0.6,12.3,SAFE,2,Situation maîtrisée
0.30,0.7,14.1,SAFE,2,Situation maîtrisée
0.35,1.0,15.9,SAFE,2,Situation maîtrisée
0.40,1.2,17.6,SAFE,2,Situation maîtrisée
0.45,1.5,19.4,SAFE,2,Situation maîtrisée
0.50,1.7,21.2,SAFE,2,Situation maîtrisée
0.55,2.0,22.9,SAFE,2,Situation maîtrisée
0.60,2.3,13.2,SAFE,2,Situation maîtrisée
0.65,2.3,0.8,SAFE,2,Situation maîtrisée
0.70,2.3,0.9,SAFE,2,Situation maîtrisée
0.75,2.4,0.9,SAFE,2,Situation maîtrisée
0.80,2.4,0.7,SAFE,2,Situation maîtrisée
0.85,2.4,0.6,SAFE,2,Situation maîtrisée
0.90,2.4,1.0,SAFE,2,Situation maîtrisée
0.95,2.4,3.6,SAFE,2,Situation maîtrisée
1.00,2.5,5.4,SAFE,2,Situation maîtrisée
1.05,2.6,6.8,SAFE,2,Situation maîtrisée
1.10,2.7,7.7,SAFE,2,Situation maîtrisée
1.15,2.8,8.4,SAFE,2,Situation maîtrisée
1.20,2.9,9.0,SAFE,2,Situation maîtrisée
1.25,3.0,9.5,SAFE,2,Situation maîtrisée
1.30,3.2,10.1,SAFE,2,Situation maîtrisée
1.35,3.3,10.6,SAFE,2,Situation maîtrisée
1.40,3.5,11.2,SAFE,2,Situation maîtrisée
1.45,3.6,11.6,SAFE,2,Situation maîtrisée
1.50,3.8,12.2,SAFE,2,Situation maîtrisée
1.55,4.0,12.6,SAFE,2,Situation maîtrisée
1.60,4.1,13.1,SAFE,2,Situation maîtrisée
1.65,4.3,13.6,SAFE,2,Situation maîtrisée
1.70,4.5,14.1,SAFE,2,Situation maîtrisée
1.75,4.7,14.5,SAFE,2,Situation maîtrisée
1.80,4.9,15.0,SAFE,2,Situation maîtrisée
1.85,5.1,15.4,SAFE,2,Situation maîtrisée
1.90,5.4,15.8,SAFE,2,Situation maîtrisée
1.95,5.6,16.2,SAFE,2,Situation maîtrisée
2.00,5.8,16.7,SAFE,2,Situation maîtrisée
2.05,6.0,17.1,SAFE,2,Situation maîtrisée
2.10,6.3,17.5,SAFE,2,Situation maîtrisée
2.15,6.5,17.8,SAFE,2,Situation maîtrisée
2.20,6.8,18.2,SAFE,2,Situation maîtrisée
2.25,7.0,18.5,SAFE,2,Situation maîtrisée
2.30,7.3,18.2,SAFE,2,Situation maîtrisée
2.35,7.5,18.2,SAFE,2,Situation maîtrisée
2.40,7.8,18.1,SAFE,2,Situation maîtrisée
2.45,8.0,18.2,SAFE,2,Situation maîtrisée
2.50,8.3,18.3,SAFE,2,Situation maîtrisée
2.55,8.6,18.5,SAFE,2,Situation maîtrisée
2.60,8.8,18.6,SAFE,2,Situation maîtrisée
2.65,9.1,18.9,SAFE,2,Situation maîtrisée
2.70,9.3,19.1,SAFE,2,Situation maîtrisée
2.75,9.6,19.4,SAFE,2,Situation maîtrisée
2.80,9.9,19.6,SAFE,2,Situation maîtrisée
2.85,10.2,20.0,SAFE,2,Situation maîtrisée
2.90,10.4,20.1,SAFE,2,Situation maîtrisée
2.95,10.7,20.5,SAFE,2,Situation maîtrisée
3.00,11.0,20.7,SAFE,2,Situation maîtrisée
3.05,11.3,21.0,SAFE,2,Situation maîtrisée
3.10,11.6,21.1,SAFE,2,Situation maîtrisée
3.15,11.9,21.4,SAFE,2,Situation maîtrisée
3.20,12.2,21.6,SAFE,2,Situation maîtrisée
3.25,12.5,21.9,SAFE,2,Situation maîtrisée
3.30,12.8,22.0,SAFE,3,Situation maîtrisée
3.35,13.1,22.3,SAFE,3,Situation maîtrisée
3.40,13.4,22.4,SAFE,3,Situation maîtrisée
3.45,13.7,22.6,SAFE,3,Situation maîtrisée
3.50,14.0,22.7,SAFE,3,Situation maîtrisée
3.55,14.4,23.0,SAFE,2,Situation maîtrisée
3.60,14.7,23.1,SAFE,2,Situation maîtrisée
3.65,15.0,23.3,SAFE,2,Situation maîtrisée
3.70,15.3,23.4,SAFE,3,Situation maîtrisée
3.75,15.6,23.6,SAFE,3,Situation maîtrisée
3.80,16.0,23.6,SAFE,3,Situation maîtrisée
3.85,16.3,23.8,SAFE,3,Situation maîtrisée
3.90,16.6,23.9,SAFE,3,Situation maîtrisée
3.95,17.0,24.1,SAFE,3,Situation maîtrisée
4.00,17.3,24.1,SAFE,3,Situation maîtrisée
4.05,17.6,24.3,SAFE,2,Situation maîtrisée
4.10,18.0,24.3,SAFE,2,Situation maîtrisée
4.15,18.3,24.5,SAFE,2,Situation maîtrisée
4.20,18.7,24.5,SAFE,2,Situation maîtrisée
