t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,obstacle_statique_m,recommandation
0.05,0.1,5.3,SAFE,1,,Situation maîtrisée
0.10,0.2,7.1,SAFE,1,,Situation maîtrisée
0.15,0.3,8.8,SAFE,1,,Situation maîtrisée
0.20,0.4,4.3,SAFE,1,,Situation maîtrisée
0.25,0.4,1.5,CRITICAL,1,,FREINEZ de 1 km/h  (1 -> 0 km/h)
0.30,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.35,0.4,0.4,CRITICAL,1,,Vigilance — situation à la limite
0.40,0.4,0.6,CRITICAL,1,,Vigilance — situation à la limite
0.45,0.4,0.5,CRITICAL,1,,Vigilance — situation à la limite
0.50,0.4,0.5,CRITICAL,1,,Vigilance — situation à la limite
0.55,0.4,0.4,CRITICAL,1,,Vigilance — situation à la limite
0.60,0.4,0.3,CRITICAL,1,,Vigilance — situation à la limite
0.65,0.4,0.2,CRITICAL,1,,Vigilance — situation à la limite
0.70,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.75,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.80,0.4,0.1,SAFE,1,,Situation maîtrisée
0.85,0.4,0.1,SAFE,1,,Situation maîtrisée
0.90,0.4,0.0,SAFE,1,,Situation maîtrisée
0.95,0.4,0.0,SAFE,1,,Situation maîtrisée
1.00,0.4,0.0,SAFE,1,,Situation maîtrisée
1.05,0.4,0.0,SAFE,1,,Situation maîtrisée
1.10,0.4,0.0,SAFE,1,,Situation maîtrisée
1.15,0.4,0.0,SAFE,1,,Situation maîtrisée
1.20,0.4,0.0,SAFE,1,,Situation maîtrisée
1.25,0.4,0.0,SAFE,1,,Situation maîtrisée
1.30,0.4,1.0,CRITICAL,1,,Vigilance — situation à la limite
1.35,0.4,0.0,SAFE,1,,Situation maîtrisée
1.40,0.4,0.7,CRITICAL,1,,Vigilance — situation à la limite
1.45,0.5,0.0,SAFE,1,,Situation maîtrisée
1.50,0.5,0.5,CRITICAL,1,,Vigilance — situation à la limite
1.55,0.5,0.0,SAFE,1,,Situation maîtrisée
1.60,0.5,0.4,SAFE,1,,Situation maîtrisée
1.65,0.5,0.6,CRITICAL,1,,Vigilance — situation à la limite
1.70,0.5,0.0,SAFE,1,,Situation maîtrisée
1.75,0.5,0.4,CRITICAL,1,,Vigilance — situation à la limite
1.80,0.5,0.0,SAFE,1,,Situation maîtrisée
1.85,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
1.90,0.5,0.0,SAFE,1,,Situation maîtrisée
1.95,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.00,0.5,0.0,SAFE,1,,Situation maîtrisée
2.05,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.10,0.5,0.0,SAFE,1,,Situation maîtrisée
2.15,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.20,0.5,0.0,SAFE,1,,Situation maîtrisée
2.25,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.30,0.5,0.0,SAFE,1,,Situation maîtrisée
2.35,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.40,0.5,0.0,SAFE,1,,Situation maîtrisée
2.45,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.50,0.5,0.0,SAFE,1,,Situation maîtrisée
2.55,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.60,0.5,0.0,SAFE,1,,Situation maîtrisée
2.65,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.70,0.5,0.0,SAFE,1,,Situation maîtrisée
2.75,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.80,0.5,0.0,SAFE,1,,Situation maîtrisée
2.85,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
2.90,0.5,0.0,SAFE,1,,Situation maîtrisée
2.95,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.00,0.5,0.0,SAFE,1,,Situation maîtrisée
3.05,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.10,0.5,0.0,SAFE,1,,Situation maîtrisée
3.15,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.20,0.5,0.0,SAFE,1,,Situation maîtrisée
3.25,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.30,0.5,0.0,SAFE,1,,Situation maîtrisée
3.35,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.40,0.5,0.0,SAFE,1,,Situation maîtrisée
3.45,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.50,0.5,0.0,SAFE,1,,Situation maîtrisée
3.55,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.60,0.5,0.0,SAFE,1,,Situation maîtrisée
3.65,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.70,0.5,0.0,SAFE,1,,Situation maîtrisée
3.75,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.80,0.5,0.0,SAFE,1,,Situation maîtrisée
3.85,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
3.90,0.5,0.0,SAFE,1,,Situation maîtrisée
3.95,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.00,0.5,0.0,SAFE,1,,Situation maîtrisée
4.05,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.10,0.5,0.0,SAFE,1,,Situation maîtrisée
4.15,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.20,0.5,0.0,SAFE,1,,Situation maîtrisée
4.25,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.30,0.5,0.0,SAFE,1,,Situation maîtrisée
4.35,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.40,0.5,0.0,SAFE,1,,Situation maîtrisée
4.45,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.50,0.5,0.0,SAFE,1,,Situation maîtrisée
4.55,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.60,0.5,0.0,SAFE,1,,Situation maîtrisée
4.65,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.70,0.5,0.0,SAFE,1,,Situation maîtrisée
4.75,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.80,0.5,0.0,SAFE,1,,Situation maîtrisée
4.85,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
4.90,0.5,0.0,SAFE,1,,Situation maîtrisée
4.95,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.00,0.5,0.0,SAFE,1,,Situation maîtrisée
5.05,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.10,0.5,0.0,SAFE,1,,Situation maîtrisée
5.15,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.20,0.5,0.0,SAFE,1,,Situation maîtrisée
5.25,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.30,0.5,0.0,SAFE,1,,Situation maîtrisée
5.35,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.40,0.5,0.0,SAFE,1,,Situation maîtrisée
5.45,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.50,0.5,0.0,SAFE,1,,Situation maîtrisée
5.55,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.60,0.5,0.0,SAFE,1,,Situation maîtrisée
5.65,0.5,0.3,SAFE,1,,Situation maîtrisée
5.70,0.5,0.1,CRITICAL,1,,Vigilance — situation à la limite
5.75,0.5,0.0,SAFE,1,,Situation maîtrisée
5.80,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.85,0.5,0.0,SAFE,1,,Situation maîtrisée
5.90,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
5.95,0.5,0.0,SAFE,1,,Situation maîtrisée
6.00,0.5,0.3,CRITICAL,1,,Vigilance — situation à la limite
6.05,0.5,0.0,SAFE,1,,Situation maîtrisée
6.10,0.5,0.3,SAFE,0,,Voie libre
6.15,0.5,0.0,SAFE,0,,Voie libre
6.20,0.5,0.3,SAFE,0,,Voie libre
6.25,0.5,1.0,SAFE,0,,Voie libre
6.30,0.5,1.4,SAFE,0,,Voie libre
6.35,0.6,2.2,SAFE,0,,Voie libre
6.40,0.6,2.7,SAFE,0,,Voie libre
6.45,0.6,3.3,SAFE,0,,Voie libre
6.50,0.7,4.0,SAFE,0,,Voie libre
6.55,0.8,4.7,SAFE,0,,Voie libre
6.60,0.8,5.5,SAFE,0,,Voie libre
6.65,0.9,6.1,SAFE,0,,Voie libre
6.70,1.0,7.0,SAFE,0,,Voie libre
6.75,1.1,7.6,SAFE,0,,Voie libre
6.80,1.2,8.4,SAFE,0,,Voie libre
6.85,1.3,8.9,SAFE,0,,Voie libre
6.90,1.5,9.5,SAFE,0,,Voie libre
6.95,1.6,10.1,SAFE,0,,Voie libre
7.00,1.7,10.8,SAFE,0,,Voie libre
7.05,1.9,11.4,SAFE,0,,Voie libre
7.10,2.1,12.1,SAFE,0,,Voie libre
7.15,2.2,12.7,SAFE,0,,Voie libre
7.20,2.4,13.4,SAFE,0,,Voie libre
7.25,2.6,14.0,SAFE,0,,Voie libre
7.30,2.8,14.6,SAFE,0,,Voie libre
7.35,3.0,15.1,SAFE,0,,Voie libre
7.40,3.2,15.6,SAFE,0,,Voie libre
7.45,3.5,16.0,SAFE,0,,Voie libre
7.50,3.7,16.4,SAFE,0,,Voie libre
7.55,3.9,16.8,SAFE,0,,Voie libre
7.60,4.1,17.1,SAFE,0,,Voie libre
7.65,4.4,17.5,SAFE,0,,Voie libre
7.70,4.6,17.7,SAFE,0,,Voie libre
7.75,4.9,18.0,SAFE,0,,Voie libre
7.80,5.1,18.3,SAFE,0,,Voie libre
7.85,5.4,18.3,CRITICAL,1,,FREINEZ de 18 km/h  (18 -> 0 km/h)
7.90,5.6,17.9,CRITICAL,1,,FREINEZ de 18 km/h  (18 -> 0 km/h)
7.95,5.9,17.8,CRITICAL,1,,FREINEZ de 18 km/h  (18 -> 0 km/h)
8.00,6.1,17.3,CRITICAL,1,,FREINEZ de 17 km/h  (17 -> 0 km/h)
8.05,6.4,16.6,CRITICAL,1,,FREINEZ de 17 km/h  (17 -> 0 km/h)
8.10,6.6,15.8,CRITICAL,1,,FREINEZ de 16 km/h  (16 -> 0 km/h)
8.15,6.8,15.0,CRITICAL,1,,FREINEZ de 15 km/h  (15 -> 0 km/h)
8.20,7.0,14.2,CRITICAL,1,,FREINEZ de 14 km/h  (14 -> 0 km/h)
8.25,7.2,13.4,CRITICAL,1,,FREINEZ de 13 km/h  (13 -> 0 km/h)
8.30,7.4,12.6,CRITICAL,1,,FREINEZ de 13 km/h  (13 -> 0 km/h)
8.35,7.5,11.8,CRITICAL,1,,FREINEZ de 12 km/h  (12 -> 0 km/h)
8.40,7.7,11.1,CRITICAL,1,,FREINEZ de 11 km/h  (11 -> 0 km/h)
8.45,7.8,10.3,CRITICAL,1,,FREINEZ de 10 km/h  (10 -> 0 km/h)
8.50,8.0,9.6,SAFE,1,,Situation maîtrisée
8.55,8.1,9.0,SAFE,1,,Situation maîtrisée
8.60,8.2,8.9,SAFE,1,,Situation maîtrisée
8.65,8.4,9.1,SAFE,1,,Situation maîtrisée
8.70,8.5,9.4,SAFE,1,,Situation maîtrisée
8.75,8.6,9.9,SAFE,1,,Situation maîtrisée
8.80,8.8,10.5,SAFE,1,,Situation maîtrisée
8.85,8.9,11.1,SAFE,1,,Situation maîtrisée
8.90,9.1,11.7,SAFE,1,,Situation maîtrisée
8.95,9.2,12.4,SAFE,1,,Situation maîtrisée
9.00,9.4,13.0,SAFE,1,,Situation maîtrisée
9.05,9.6,13.7,SAFE,1,,Situation maîtrisée
9.10,9.8,14.2,SAFE,1,,Situation maîtrisée
9.15,10.0,14.8,SAFE,1,,Situation maîtrisée
9.20,10.2,15.3,SAFE,1,,Situation maîtrisée
9.25,10.4,15.8,SAFE,1,,Situation maîtrisée
9.30,10.7,16.2,SAFE,1,,Situation maîtrisée
9.35,10.9,16.6,SAFE,1,,Situation maîtrisée
9.40,11.1,16.9,SAFE,1,,Situation maîtrisée
9.45,11.4,17.3,SAFE,1,,Situation maîtrisée
9.50,11.6,17.6,SAFE,1,,Situation maîtrisée
9.55,11.8,17.9,SAFE,2,,Situation maîtrisée
9.60,12.1,18.1,SAFE,2,,Situation maîtrisée
9.65,12.3,18.4,SAFE,2,,Situation maîtrisée
9.70,12.6,18.2,SAFE,2,,Situation maîtrisée
9.75,12.9,18.2,SAFE,2,,Situation maîtrisée
9.80,13.1,18.2,SAFE,2,,Situation maîtrisée
