t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,5,Situation maîtrisée
0.10,0.2,7.1,SAFE,5,Situation maîtrisée
0.15,0.3,8.8,SAFE,5,Situation maîtrisée
0.20,0.4,10.6,SAFE,5,Situation maîtrisée
0.25,0.6,12.3,SAFE,5,Situation maîtrisée
0.30,0.7,14.1,SAFE,5,Situation maîtrisée
0.35,1.0,15.9,SAFE,5,Situation maîtrisée
0.40,1.2,17.6,SAFE,5,Situation maîtrisée
0.45,1.5,19.4,SAFE,5,Situation maîtrisée
0.50,1.7,21.2,SAFE,5,Situation maîtrisée
0.55,2.0,22.9,SAFE,5,Situation maîtrisée
0.60,2.3,13.2,SAFE,5,Situation maîtrisée
0.65,2.3,0.8,SAFE,5,Situation maîtrisée
0.70,2.3,0.9,SAFE,5,Situation maîtrisée
0.75,2.4,0.9,SAFE,5,Situation maîtrisée
0.80,2.4,0.7,SAFE,5,Situation maîtrisée
0.85,2.4,0.6,SAFE,5,Situation maîtrisée
0.90,2.4,1.0,SAFE,5,Situation maîtrisée
0.95,2.4,3.6,SAFE,5,Situation maîtrisée
1.00,2.5,5.4,SAFE,5,Situation maîtrisée
1.05,2.6,6.8,SAFE,5,Situation maîtrisée
1.10,2.7,7.7,SAFE,5,Situation maîtrisée
1.15,2.8,8.4,SAFE,5,Situation maîtrisée
1.20,2.9,9.0,SAFE,5,Situation maîtrisée
1.25,3.0,9.5,SAFE,5,Situation maîtrisée
1.30,3.2,10.1,SAFE,5,Situation maîtrisée
1.35,3.3,10.6,SAFE,5,Situation maîtrisée
1.40,3.5,11.2,SAFE,5,Situation maîtrisée
1.45,3.6,11.6,SAFE,6,Situation maîtrisée
1.50,3.8,12.2,SAFE,6,Situation maîtrisée
1.55,4.0,12.6,SAFE,6,Situation maîtrisée
1.60,4.1,13.1,SAFE,6,Situation maîtrisée
1.65,4.3,13.6,SAFE,6,Situation maîtrisée
1.70,4.5,14.1,SAFE,6,Situation maîtrisée
1.75,4.7,14.5,SAFE,6,Situation maîtrisée
1.80,4.9,15.0,SAFE,6,Situation maîtrisée
1.85,5.1,15.4,SAFE,6,Situation maîtrisée
1.90,5.4,15.8,SAFE,6,Situation maîtrisée
1.95,5.6,16.2,SAFE,6,Situation maîtrisée
2.00,5.8,16.7,SAFE,6,Situation maîtrisée
2.05,6.0,17.1,SAFE,6,Situation maîtrisée
2.10,6.3,17.5,SAFE,6,Situation maîtrisée
2.15,6.5,17.8,SAFE,6,Situation maîtrisée
2.20,6.8,18.2,SAFE,6,Situation maîtrisée
2.25,7.0,18.5,SAFE,6,Situation maîtrisée
