t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,obstacle_statique_m,recommandation
0.05,0.1,5.3,SAFE,1,,Situation maîtrisée
0.10,0.2,7.1,SAFE,1,,Situation maîtrisée
0.15,0.3,8.8,SAFE,1,,Situation maîtrisée
0.20,0.4,4.3,CRITICAL,1,,FREINEZ de 4 km/h  (4 -> 0 km/h)
0.25,0.4,1.5,CRITICAL,1,,FREINEZ de 1 km/h  (1 -> 0 km/h)
0.30,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.35,0.4,0.4,CRITICAL,1,,Vigilance — situation à la limite
0.40,0.4,0.6,CRITICAL,1,,Vigilance — situation à la limite
0.45,0.4,0.5,CRITICAL,1,,Vigilance — situation à la limite
0.50,0.4,0.5,CRITICAL,1,,Vigilance — situation à la limite
0.55,0.4,0.4,CRITICAL,1,,Vigilance — situation à la limite
0.60,0.4,0.3,CRITICAL,1,,Vigilance — situation à la limite
0.65,0.4,0.2,CRITICAL,1,,Vigilance — situation à la limite
0.70,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.75,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.80,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.85,0.4,0.1,CRITICAL,1,,Vigilance — situation à la limite
0.90,0.4,0.0,CRITICAL,1,,Vigilance — situation à la limite
0.95,0.4,0.0,SAFE,1,,Situation maîtrisée
1.00,0.4,0.0,SAFE,1,,Situation maîtrisée
1.05,0.4,0.0,SAFE,1,,Situation maîtrisée
1.10,0.4,0.0,SAFE,1,,Situation maîtrisée
1.15,0.4,0.0,SAFE,1,,Situation maîtrisée
1.20,0.4,0.0,SAFE,1,,Situation maîtrisée
1.25,0.4,0.0,SAFE,1,,Situation maîtrisée
1.30,0.4,0.0,SAFE,1,,Situation maîtrisée
1.35,0.4,0.0,SAFE,1,,Situation maîtrisée
1.40,0.4,0.0,SAFE,1,,Situation maîtrisée
1.45,0.4,0.0,SAFE,1,,Situation maîtrisée
1.50,0.4,0.0,SAFE,1,,Situation maîtrisée
1.55,0.5,2.7,CRITICAL,1,,FREINEZ de 3 km/h  (3 -> 0 km/h)
1.60,0.5,4.4,CRITICAL,1,,FREINEZ de 4 km/h  (4 -> 0 km/h)
1.65,0.6,3.1,CRITICAL,1,,FREINEZ de 3 km/h  (3 -> 0 km/h)
1.70,0.6,0.0,SAFE,1,,Situation maîtrisée
1.75,0.6,0.0,SAFE,1,,Situation maîtrisée
1.80,0.6,0.0,SAFE,1,,Situation maîtrisée
1.85,0.6,0.9,CRITICAL,1,,Vigilance — situation à la limite
1.90,0.6,0.0,SAFE,1,,Situation maîtrisée
1.95,0.6,0.4,SAFE,2,,Situation maîtrisée
2.00,0.6,0.6,SAFE,2,,Situation maîtrisée
2.05,0.6,1.1,CRITICAL,2,,Vigilance — situation à la limite
2.10,0.6,0.0,SAFE,2,,Situation maîtrisée
2.15,0.6,0.4,SAFE,2,,Situation maîtrisée
2.20,0.6,0.7,CRITICAL,2,,Vigilance — situation à la limite
2.25,0.6,0.0,SAFE,2,,Situation maîtrisée
2.30,0.6,0.4,SAFE,2,,Situation maîtrisée
2.35,0.6,0.7,SAFE,2,,Situation maîtrisée
2.40,0.7,1.2,CRITICAL,2,,Vigilance — situation à la limite
2.45,0.7,0.0,SAFE,2,,Situation maîtrisée
2.50,0.7,0.4,SAFE,2,,Situation maîtrisée
2.55,0.7,0.7,CRITICAL,2,,Vigilance — situation à la limite
2.60,0.7,0.0,SAFE,2,,Situation maîtrisée
2.65,0.7,0.4,SAFE,2,,Situation maîtrisée
2.70,0.7,0.7,CRITICAL,2,,Vigilance — situation à la limite
2.75,0.7,0.0,SAFE,2,,Situation maîtrisée
2.80,0.7,0.4,SAFE,2,,Situation maîtrisée
2.85,0.7,0.6,SAFE,2,,Situation maîtrisée
2.90,0.7,0.9,CRITICAL,2,,Vigilance — situation à la limite
2.95,0.7,0.0,SAFE,2,,Situation maîtrisée
3.00,0.7,0.4,SAFE,2,,Situation maîtrisée
3.05,0.7,0.7,SAFE,2,,Situation maîtrisée
3.10,0.7,1.1,CRITICAL,2,,Vigilance — situation à la limite
3.15,0.7,0.0,SAFE,2,,Situation maîtrisée
3.20,0.7,0.4,SAFE,2,,Situation maîtrisée
3.25,0.7,0.7,SAFE,2,,Situation maîtrisée
3.30,0.7,1.3,CRITICAL,2,,Vigilance — situation à la limite
3.35,0.7,0.0,SAFE,2,,Situation maîtrisée
3.40,0.7,0.4,SAFE,2,,Situation maîtrisée
3.45,0.8,0.7,SAFE,2,,Situation maîtrisée
3.50,0.8,1.5,CRITICAL,2,,Vigilance — situation à la limite
3.55,0.8,0.0,SAFE,2,,Situation maîtrisée
3.60,0.8,0.4,SAFE,2,,Situation maîtrisée
3.65,0.8,0.6,SAFE,2,,Situation maîtrisée
3.70,0.8,1.2,SAFE,2,,Situation maîtrisée
3.75,0.8,2.0,CRITICAL,2,,Vigilance — situation à la limite
3.80,0.8,0.0,SAFE,2,,Situation maîtrisée
3.85,0.8,0.4,SAFE,2,,Situation maîtrisée
3.90,0.8,0.8,SAFE,2,,Situation maîtrisée
3.95,0.9,1.6,SAFE,2,,Situation maîtrisée
4.00,0.9,2.2,CRITICAL,2,,Vigilance — situation à la limite
4.05,0.9,0.0,SAFE,2,,Situation maîtrisée
4.10,0.9,0.4,SAFE,2,,Situation maîtrisée
4.15,0.9,0.7,SAFE,2,,Situation maîtrisée
4.20,0.9,1.4,SAFE,2,,Situation maîtrisée
4.25,0.9,2.1,SAFE,2,,Situation maîtrisée
4.30,1.0,2.8,CRITICAL,2,,FREINEZ de 1 km/h  (3 -> 2 km/h)
4.35,1.0,0.0,SAFE,2,,Situation maîtrisée
4.40,1.0,0.4,SAFE,2,,Situation maîtrisée
4.45,1.0,1.0,SAFE,2,,Situation maîtrisée
4.50,1.0,1.8,SAFE,2,,Situation maîtrisée
4.55,1.1,2.5,SAFE,2,,Situation maîtrisée
4.60,1.1,3.0,CRITICAL,2,,Vigilance — situation à la limite
4.65,1.1,0.0,SAFE,2,,Situation maîtrisée
4.70,1.1,0.4,SAFE,2,,Situation maîtrisée
4.75,1.1,1.0,SAFE,2,,Situation maîtrisée
4.80,1.1,1.7,SAFE,2,,Situation maîtrisée
4.85,1.2,2.3,WATCH,2,,Vigilance — situation à la limite
4.90,1.2,0.0,SAFE,2,,Situation maîtrisée
4.95,1.2,0.7,SAFE,2,,Situation maîtrisée
5.00,1.2,1.2,SAFE,2,,Situation maîtrisée
5.05,1.2,1.7,SAFE,2,,Situation maîtrisée
5.10,1.2,2.4,DANGER,2,,Vigilance — situation à la limite
5.15,1.3,0.0,SAFE,2,,Situation maîtrisée
5.20,1.3,0.4,SAFE,2,,Situation maîtrisée
5.25,1.3,1.1,SAFE,2,,Situation maîtrisée
5.30,1.3,1.6,SAFE,2,,Situation maîtrisée
5.35,1.3,2.4,CRITICAL,2,,Vigilance — situation à la limite
5.40,1.3,0.0,SAFE,2,,Situation maîtrisée
5.45,1.3,0.4,SAFE,2,,Situation maîtrisée
5.50,1.3,0.7,SAFE,2,,Situation maîtrisée
5.55,1.4,1.5,SAFE,2,,Situation maîtrisée
5.60,1.4,2.3,CRITICAL,2,,Vigilance — situation à la limite
5.65,1.4,0.0,SAFE,2,,Situation maîtrisée
5.70,1.4,0.4,SAFE,2,,Situation maîtrisée
5.75,1.4,0.7,SAFE,2,,Situation maîtrisée
5.80,1.4,1.5,SAFE,2,,Situation maîtrisée
5.85,1.4,2.2,CRITICAL,2,,Vigilance — situation à la limite
5.90,1.5,0.0,SAFE,2,,Situation maîtrisée
5.95,1.5,0.4,SAFE,2,,Situation maîtrisée
6.00,1.5,0.7,SAFE,2,,Situation maîtrisée
6.05,1.5,1.4,CRITICAL,2,,Vigilance — situation à la limite
6.10,1.5,0.0,SAFE,2,,Situation maîtrisée
6.15,1.5,0.4,SAFE,2,,Situation maîtrisée
6.20,1.5,0.9,SAFE,2,,Situation maîtrisée
6.25,1.5,1.5,CRITICAL,2,,Vigilance — situation à la limite
6.30,1.5,0.0,SAFE,2,,Situation maîtrisée
6.35,1.5,0.4,SAFE,2,,Situation maîtrisée
6.40,1.5,0.5,SAFE,2,,Situation maîtrisée
6.45,1.5,1.4,SAFE,2,,Situation maîtrisée
6.50,1.6,2.0,CRITICAL,2,,Vigilance — situation à la limite
6.55,1.6,0.0,SAFE,2,,Situation maîtrisée
6.60,1.6,0.4,SAFE,2,,Situation maîtrisée
6.65,1.6,0.7,SAFE,2,,Situation maîtrisée
6.70,1.6,1.6,CRITICAL,2,,Vigilance — situation à la limite
6.75,1.6,0.0,SAFE,2,,Situation maîtrisée
6.80,1.6,0.4,SAFE,2,,Situation maîtrisée
6.85,1.6,0.7,SAFE,2,,Situation maîtrisée
6.90,1.6,1.5,CRITICAL,2,,Vigilance — situation à la limite
6.95,1.6,0.0,SAFE,2,,Situation maîtrisée
7.00,1.6,0.4,SAFE,2,,Situation maîtrisée
7.05,1.6,0.7,SAFE,2,,Situation maîtrisée
7.10,1.7,1.4,SAFE,2,,Situation maîtrisée
7.15,1.7,2.0,CRITICAL,2,,Vigilance — situation à la limite
7.20,1.7,0.0,SAFE,2,,Situation maîtrisée
7.25,1.7,0.4,SAFE,2,,Situation maîtrisée
7.30,1.7,0.8,SAFE,2,,Situation maîtrisée
7.35,1.7,1.5,SAFE,2,,Situation maîtrisée
7.40,1.7,2.2,CRITICAL,2,,Vigilance — situation à la limite
7.45,1.7,0.0,SAFE,2,,Situation maîtrisée
7.50,1.7,0.4,SAFE,2,,Situation maîtrisée
7.55,1.8,0.7,SAFE,2,,Situation maîtrisée
7.60,1.8,1.5,SAFE,2,,Situation maîtrisée
7.65,1.8,2.2,CRITICAL,2,,Vigilance — situation à la limite
7.70,1.8,0.0,SAFE,2,,Situation maîtrisée
7.75,1.8,0.4,SAFE,2,,Situation maîtrisée
7.80,1.8,0.7,SAFE,2,,Situation maîtrisée
7.85,1.8,1.6,CRITICAL,2,,Vigilance — situation à la limite
7.90,1.8,0.0,SAFE,2,,Situation maîtrisée
7.95,1.8,0.4,CRITICAL,2,,Vigilance — situation à la limite
8.00,1.8,0.0,SAFE,2,,Situation maîtrisée
8.05,1.8,0.3,CRITICAL,2,,Vigilance — situation à la limite
8.10,1.8,0.0,SAFE,2,,Situation maîtrisée
8.15,1.8,0.3,CRITICAL,2,,Vigilance — situation à la limite
8.20,1.8,0.0,SAFE,2,,Situation maîtrisée
8.25,1.8,0.3,CRITICAL,2,,Vigilance — situation à la limite
8.30,1.8,0.0,SAFE,2,,Situation maîtrisée
8.35,1.8,0.3,CRITICAL,2,,Vigilance — situation à la limite
8.40,1.8,0.0,SAFE,2,,Situation maîtrisée
8.45,1.8,0.3,CRITICAL,2,,Vigilance — situation à la limite
8.50,1.8,0.0,SAFE,2,,Situation maîtrisée
8.55,1.8,0.3,CRITICAL,2,,Vigilance — situation à la limite
8.60,1.8,0.0,SAFE,2,,Situation maîtrisée
8.65,1.8,0.3,CRITICAL,2,,Vigilance — situation à la limite
8.70,1.8,0.0,SAFE,2,,Situation maîtrisée
8.75,1.8,0.3,SAFE,2,,Situation maîtrisée
8.80,1.8,0.1,SAFE,2,,Situation maîtrisée
8.85,1.9,0.4,CRITICAL,2,,Vigilance — situation à la limite
8.90,1.9,0.0,SAFE,2,,Situation maîtrisée
8.95,1.9,0.4,CRITICAL,2,,Vigilance — situation à la limite
9.00,1.9,0.0,SAFE,2,,Situation maîtrisée
9.05,1.9,0.3,CRITICAL,2,,Vigilance — situation à la limite
9.10,1.9,0.0,SAFE,2,,Situation maîtrisée
9.15,1.9,0.3,CRITICAL,2,,Vigilance — situation à la limite
9.20,1.9,0.0,SAFE,2,,Situation maîtrisée
9.25,1.9,0.3,CRITICAL,2,,Vigilance — situation à la limite
9.30,1.9,0.0,SAFE,2,,Situation maîtrisée
9.35,1.9,0.3,CRITICAL,2,,Vigilance — situation à la limite
9.40,1.9,0.0,SAFE,2,,Situation maîtrisée
9.45,1.9,0.3,SAFE,2,,Situation maîtrisée
9.50,1.9,0.1,SAFE,2,,Situation maîtrisée
9.55,1.9,0.5,SAFE,2,,Situation maîtrisée
9.60,1.9,1.0,SAFE,2,,Situation maîtrisée
9.65,1.9,1.4,SAFE,2,,Situation maîtrisée
9.70,1.9,2.1,SAFE,2,,Situation maîtrisée
9.75,2.0,2.6,SAFE,2,,Situation maîtrisée
9.80,2.0,3.5,SAFE,2,,Situation maîtrisée
9.85,2.0,4.0,SAFE,2,,Situation maîtrisée
