t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,1,Situation maîtrisée
0.10,0.2,7.1,SAFE,1,Situation maîtrisée
0.15,0.3,8.8,SAFE,1,Situation maîtrisée
0.20,0.4,10.6,SAFE,1,Situation maîtrisée
0.25,0.6,12.3,SAFE,1,Situation maîtrisée
0.30,0.7,14.1,SAFE,1,Situation maîtrisée
0.35,1.0,15.9,SAFE,1,Situation maîtrisée
0.40,1.2,17.6,SAFE,1,Situation maîtrisée
0.45,1.5,19.4,SAFE,1,Situation maîtrisée
0.50,1.7,21.2,SAFE,1,Situation maîtrisée
0.55,2.0,22.9,SAFE,1,Situation maîtrisée
0.60,2.3,13.4,SAFE,1,Situation maîtrisée
0.65,2.3,0.7,SAFE,1,Situation maîtrisée
0.70,2.3,0.9,SAFE,1,Situation maîtrisée
0.75,2.4,0.9,SAFE,1,Situation maîtrisée
0.80,2.4,0.7,SAFE,1,Situation maîtrisée
0.85,2.4,3.5,SAFE,1,Situation maîtrisée
0.90,2.5,5.7,SAFE,1,Situation maîtrisée
0.95,2.6,7.3,SAFE,1,Situation maîtrisée
1.00,2.7,8.5,SAFE,1,Situation maîtrisée
1.05,2.8,9.5,SAFE,1,Situation maîtrisée
1.10,2.9,10.5,SAFE,1,Situation maîtrisée
1.15,3.1,11.4,SAFE,1,SAFE : Arrêt au feu rouge
1.20,3.3,12.0,SAFE,1,SAFE : Arrêt au feu rouge
1.25,3.4,12.1,SAFE,1,SAFE : Arrêt au feu rouge
1.30,3.6,11.8,SAFE,1,SAFE : Arrêt au feu rouge
1.35,3.7,11.2,SAFE,1,SAFE : Arrêt au feu rouge
1.40,3.9,10.5,SAFE,1,SAFE : Arrêt au feu rouge
1.45,4.0,9.8,SAFE,1,SAFE : Arrêt au feu rouge
1.50,4.2,9.1,SAFE,1,SAFE : Arrêt au feu rouge
1.55,4.3,8.3,SAFE,1,SAFE : Arrêt au feu rouge
1.60,4.4,7.3,SAFE,1,SAFE : Arrêt au feu rouge
1.65,4.5,3.1,SAFE,1,SAFE : Arrêt au feu rouge
1.70,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
1.75,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
1.80,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
1.85,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
1.90,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
1.95,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.00,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.05,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.10,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.15,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.20,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.25,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.30,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.35,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.40,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.45,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.50,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.55,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.60,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.65,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.70,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.75,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.80,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.85,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.90,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
2.95,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
3.00,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
3.05,4.5,0.0,SAFE,1,SAFE : Arrêt au feu rouge
3.10,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.15,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.20,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.25,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.30,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.35,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.40,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.45,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.50,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.55,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.60,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.65,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.70,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.75,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.80,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.85,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.90,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
3.95,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.00,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.05,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.10,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.15,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.20,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.25,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.30,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.35,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.40,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.45,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.50,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.55,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.60,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.65,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.70,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.75,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.80,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.85,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.90,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
4.95,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.00,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.05,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.10,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.15,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.20,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.25,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.30,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.35,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.40,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.45,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.50,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.55,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.60,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.65,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.70,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.75,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.80,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.85,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.90,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
5.95,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.00,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.05,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.10,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.15,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.20,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.25,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.30,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.35,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.40,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.45,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.50,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.55,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.60,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.65,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.70,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.75,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.80,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.85,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.90,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
6.95,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.00,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.05,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.10,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.15,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.20,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.25,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.30,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.35,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.40,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.45,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.50,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.55,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.60,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.65,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.70,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.75,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.80,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.85,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.90,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
7.95,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.00,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.05,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.10,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.15,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.20,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.25,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.30,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.35,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.40,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.45,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.50,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.55,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.60,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.65,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.70,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.75,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.80,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.85,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.90,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
8.95,4.5,0.0,SAFE,0,SAFE : Arrêt au feu rouge
