t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,0,Voie libre
0.10,0.2,7.1,SAFE,0,Voie libre
0.15,0.3,8.8,SAFE,0,Voie libre
0.20,0.4,10.6,SAFE,0,Voie libre
0.25,0.6,12.3,SAFE,0,Voie libre
0.30,0.7,14.1,SAFE,0,Voie libre
0.35,1.0,15.9,SAFE,0,Voie libre
0.40,1.2,17.6,SAFE,0,Voie libre
0.45,1.5,19.4,SAFE,0,Voie libre
0.50,1.7,21.2,SAFE,0,Voie libre
0.55,2.0,22.9,SAFE,0,Voie libre
0.60,2.3,13.2,SAFE,0,Voie libre
0.65,2.3,0.8,SAFE,0,Voie libre
0.70,2.3,0.9,SAFE,0,Voie libre
0.75,2.4,0.9,SAFE,0,Voie libre
0.80,2.4,0.7,SAFE,0,Voie libre
0.85,2.4,0.6,SAFE,0,Voie libre
0.90,2.4,1.0,SAFE,0,Voie libre
0.95,2.4,3.6,SAFE,0,Voie libre
1.00,2.5,5.4,SAFE,0,Voie libre
1.05,2.6,6.8,SAFE,0,Voie libre
1.10,2.7,7.7,SAFE,0,Voie libre
1.15,2.8,8.4,SAFE,0,Voie libre
1.20,2.9,9.0,SAFE,0,Voie libre
1.25,3.0,9.5,SAFE,0,Voie libre
1.30,3.2,10.1,SAFE,0,Voie libre
1.35,3.3,10.6,SAFE,0,Voie libre
1.40,3.5,11.2,SAFE,0,Voie libre
1.45,3.6,11.6,SAFE,0,Voie libre
1.50,3.8,12.2,SAFE,0,Voie libre
1.55,4.0,12.6,SAFE,0,Voie libre
1.60,4.1,13.1,SAFE,0,Voie libre
1.65,4.3,13.6,SAFE,0,Voie libre
1.70,4.5,14.1,SAFE,0,Voie libre
1.75,4.7,14.5,SAFE,0,Voie libre
1.80,4.9,15.0,SAFE,0,Voie libre
1.85,5.1,15.4,SAFE,0,Voie libre
1.90,5.4,15.8,SAFE,0,Voie libre
1.95,5.6,16.2,SAFE,0,Voie libre
2.00,5.8,16.7,SAFE,0,Voie libre
2.05,6.0,17.1,SAFE,0,Voie libre
2.10,6.3,17.5,SAFE,0,Voie libre
2.15,6.5,17.8,SAFE,0,Voie libre
2.20,6.8,18.2,SAFE,0,Voie libre
2.25,7.0,18.5,SAFE,0,Voie libre
2.30,7.3,18.2,SAFE,0,Voie libre
2.35,7.5,18.2,SAFE,0,Voie libre
2.40,7.8,18.1,SAFE,0,Voie libre
2.45,8.0,18.2,SAFE,0,Voie libre
2.50,8.3,18.3,WATCH,1,Ralentissez de 2 km/h  (18 -> 17 km/h)
2.55,8.6,18.4,WATCH,1,Ralentissez de 2 km/h  (18 -> 17 km/h)
2.60,8.8,18.2,WATCH,1,Ralentissez de 1 km/h  (18 -> 17 km/h)
2.65,9.1,18.1,WATCH,1,Ralentissez de 1 km/h  (18 -> 17 km/h)
2.70,9.3,18.0,WATCH,1,Ralentissez de 1 km/h  (18 -> 17 km/h)
2.75,9.5,15.0,SAFE,1,Situation maîtrisée
2.80,9.7,13.0,SAFE,1,Situation maîtrisée
2.85,9.9,13.3,SAFE,1,Situation maîtrisée
2.90,10.1,13.7,SAFE,1,Situation maîtrisée
2.95,10.3,14.1,SAFE,1,Situation maîtrisée
3.00,10.5,14.5,SAFE,1,Situation maîtrisée
3.05,10.7,15.0,SAFE,1,Situation maîtrisée
3.10,10.9,15.4,SAFE,1,Situation maîtrisée
3.15,11.1,15.8,SAFE,1,Situation maîtrisée
3.20,11.4,16.2,SAFE,1,Situation maîtrisée
3.25,11.6,16.7,SAFE,1,Situation maîtrisée
3.30,11.8,17.1,SAFE,2,Situation maîtrisée
3.35,12.1,17.5,SAFE,2,Situation maîtrisée
3.40,12.3,17.8,WATCH,2,Vigilance — situation à la limite
3.45,12.6,18.0,WATCH,2,Vigilance — situation à la limite
3.50,12.8,17.9,WATCH,2,Vigilance — situation à la limite
3.55,13.1,17.7,WATCH,2,Vigilance — situation à la limite
3.60,13.3,17.3,WATCH,2,Vigilance — situation à la limite
3.65,13.5,16.9,WATCH,2,Vigilance — situation à la limite
3.70,13.8,16.5,SAFE,2,Situation maîtrisée
3.75,14.0,16.2,SAFE,2,Situation maîtrisée
3.80,14.2,16.1,SAFE,2,Situation maîtrisée
3.85,14.4,16.2,WATCH,2,Vigilance — situation à la limite
3.90,14.7,16.3,WATCH,2,Vigilance — situation à la limite
3.95,14.9,16.1,WATCH,2,Ralentissez de 1 km/h  (16 -> 15 km/h)
4.00,15.1,15.8,WATCH,2,Ralentissez de 1 km/h  (16 -> 14 km/h)
4.05,15.3,15.5,WATCH,2,Ralentissez de 1 km/h  (15 -> 14 km/h)
4.10,15.5,15.1,WATCH,2,Ralentissez de 2 km/h  (15 -> 13 km/h)
4.15,15.7,14.6,WATCH,2,Ralentissez de 2 km/h  (15 -> 13 km/h)
4.20,15.9,14.2,WATCH,2,Ralentissez de 2 km/h  (14 -> 12 km/h)
4.25,16.1,13.8,WATCH,2,Ralentissez de 1 km/h  (14 -> 13 km/h)
4.30,16.3,13.4,WATCH,2,Ralentissez de 1 km/h  (13 -> 12 km/h)
4.35,16.5,13.0,WATCH,2,Ralentissez de 1 km/h  (13 -> 12 km/h)
