t,distance_parcourue_m,vitesse_kmh,niveau,n_agents_percus,recommandation
0.05,0.1,5.3,SAFE,1,Situation maîtrisée
0.10,0.2,7.1,SAFE,1,Situation maîtrisée
0.15,0.3,8.8,SAFE,1,Situation maîtrisée
0.20,0.4,10.6,SAFE,1,Situation maîtrisée
0.25,0.6,12.3,SAFE,1,Situation maîtrisée
0.30,0.7,14.1,SAFE,1,Situation maîtrisée
0.35,1.0,15.9,SAFE,1,Situation maîtrisée
0.40,1.2,17.6,SAFE,1,Situation maîtrisée
0.45,1.5,19.4,SAFE,1,Situation maîtrisée
0.50,1.7,21.2,SAFE,1,Situation maîtrisée
0.55,2.0,22.9,SAFE,1,Situation maîtrisée
0.60,2.3,13.4,SAFE,1,Situation maîtrisée
0.65,2.3,0.7,SAFE,1,Situation maîtrisée
0.70,2.3,0.9,SAFE,1,Situation maîtrisée
0.75,2.4,0.9,SAFE,1,Situation maîtrisée
0.80,2.4,0.7,SAFE,1,Situation maîtrisée
0.85,2.4,0.6,SAFE,1,Situation maîtrisée
0.90,2.4,0.4,SAFE,1,Situation maîtrisée
0.95,2.4,0.3,SAFE,1,Situation maîtrisée
1.00,2.4,2.9,SAFE,1,Situation maîtrisée
1.05,2.5,5.2,SAFE,1,Situation maîtrisée
1.10,2.6,6.6,SAFE,2,Situation maîtrisée
1.15,2.7,7.5,SAFE,2,Situation maîtrisée
1.20,2.8,8.2,SAFE,2,Situation maîtrisée
1.25,2.9,8.9,SAFE,2,Situation maîtrisée
1.30,3.0,9.5,SAFE,2,Situation maîtrisée
1.35,3.2,10.0,SAFE,2,Situation maîtrisée
1.40,3.3,10.6,SAFE,2,Situation maîtrisée
1.45,3.4,11.1,SAFE,2,Situation maîtrisée
1.50,3.6,11.6,SAFE,2,Situation maîtrisée
1.55,3.8,12.1,SAFE,1,Situation maîtrisée
1.60,3.9,12.6,SAFE,1,Situation maîtrisée
1.65,4.1,13.0,SAFE,1,Situation maîtrisée
1.70,4.3,13.5,SAFE,1,Situation maîtrisée
1.75,4.5,13.9,SAFE,1,Situation maîtrisée
1.80,4.7,14.3,SAFE,1,Situation maîtrisée
1.85,4.9,14.6,SAFE,1,Situation maîtrisée
1.90,5.1,15.0,SAFE,1,Situation maîtrisée
1.95,5.3,15.3,SAFE,1,Situation maîtrisée
2.00,5.5,15.6,SAFE,1,Situation maîtrisée
2.05,5.7,15.8,SAFE,1,Situation maîtrisée
2.10,6.0,16.1,SAFE,1,Situation maîtrisée
2.15,6.2,16.3,SAFE,0,Voie libre
2.20,6.4,16.6,SAFE,0,Voie libre
2.25,6.7,16.8,SAFE,0,Voie libre
2.30,6.9,17.0,SAFE,0,Voie libre
2.35,7.1,17.2,SAFE,0,Voie libre
2.40,7.4,17.3,SAFE,0,Voie libre
2.45,7.6,17.5,SAFE,0,Voie libre
2.50,7.8,17.7,SAFE,0,Voie libre
2.55,8.1,17.8,SAFE,0,Voie libre
2.60,8.3,17.9,SAFE,0,Voie libre
2.65,8.6,18.1,SAFE,0,Voie libre
2.70,8.8,18.1,SAFE,0,Voie libre
2.75,9.1,17.9,SAFE,0,Voie libre
2.80,9.3,18.0,SAFE,0,Voie libre
2.85,9.6,18.1,SAFE,0,Voie libre
2.90,9.8,18.1,SAFE,0,Voie libre
2.95,10.1,18.0,SAFE,0,Voie libre
3.00,10.3,18.0,SAFE,0,Voie libre
3.05,10.6,18.0,SAFE,1,Situation maîtrisée
3.10,10.8,18.1,SAFE,1,Situation maîtrisée
3.15,11.1,18.2,SAFE,1,Situation maîtrisée
3.20,11.3,18.3,SAFE,1,Situation maîtrisée
3.25,11.6,18.4,SAFE,1,Situation maîtrisée
3.30,11.9,18.5,SAFE,1,Situation maîtrisée
3.35,12.1,18.5,SAFE,1,Situation maîtrisée
3.40,12.4,18.6,SAFE,1,Situation maîtrisée
3.45,12.6,18.5,SAFE,1,Situation maîtrisée
3.50,12.9,18.4,SAFE,1,Situation maîtrisée
3.55,13.1,18.5,SAFE,1,Situation maîtrisée
3.60,13.4,18.5,SAFE,1,Situation maîtrisée
3.65,13.6,18.4,SAFE,1,Situation maîtrisée
3.70,13.9,18.6,SAFE,1,Situation maîtrisée
3.75,14.1,18.4,SAFE,1,Situation maîtrisée
3.80,14.4,18.3,SAFE,1,Situation maîtrisée
3.85,14.6,18.4,SAFE,1,Situation maîtrisée
3.90,14.9,18.4,SAFE,1,Situation maîtrisée
3.95,15.2,18.4,SAFE,1,Situation maîtrisée
4.00,15.4,18.5,SAFE,1,Situation maîtrisée
4.05,15.7,18.5,SAFE,1,Situation maîtrisée
4.10,15.9,18.6,SAFE,1,Situation maîtrisée
4.15,16.2,18.5,SAFE,1,Situation maîtrisée
4.20,16.4,18.3,SAFE,1,Situation maîtrisée
4.25,16.7,18.1,SAFE,1,Situation maîtrisée
4.30,16.9,18.0,SAFE,1,Situation maîtrisée
4.35,17.2,18.0,SAFE,1,Situation maîtrisée
4.40,17.4,18.1,SAFE,1,Situation maîtrisée
4.45,17.6,18.1,SAFE,1,Situation maîtrisée
4.50,17.9,18.1,SAFE,1,Situation maîtrisée
4.55,18.1,18.1,SAFE,1,Situation maîtrisée
4.60,18.4,18.2,SAFE,1,Situation maîtrisée
4.65,18.6,18.2,SAFE,1,Situation maîtrisée
4.70,18.9,18.2,SAFE,1,Situation maîtrisée
4.75,19.1,18.2,SAFE,1,Situation maîtrisée
4.80,19.4,18.3,SAFE,1,Situation maîtrisée
4.85,19.6,18.3,SAFE,1,Situation maîtrisée
4.90,19.9,18.3,SAFE,1,Situation maîtrisée
4.95,20.1,18.3,SAFE,1,Situation maîtrisée
5.00,20.3,18.3,SAFE,1,Situation maîtrisée
5.05,20.6,18.4,SAFE,2,Situation maîtrisée
5.10,20.8,18.5,SAFE,3,Situation maîtrisée
5.15,21.1,18.5,SAFE,3,Situation maîtrisée
5.20,21.3,18.6,SAFE,3,Situation maîtrisée
5.25,21.6,18.7,SAFE,2,Situation maîtrisée
5.30,21.9,18.8,SAFE,1,Situation maîtrisée
5.35,22.1,18.9,SAFE,1,Situation maîtrisée
5.40,22.4,18.7,SAFE,1,Situation maîtrisée
5.45,22.6,18.9,SAFE,1,Situation maîtrisée
5.50,22.9,18.6,SAFE,1,Situation maîtrisée
5.55,23.1,18.3,SAFE,1,Situation maîtrisée
5.60,23.4,18.2,SAFE,1,Situation maîtrisée
5.65,23.6,18.5,SAFE,1,Situation maîtrisée
5.70,23.9,18.3,SAFE,1,Situation maîtrisée
5.75,24.2,18.1,SAFE,1,Situation maîtrisée
5.80,24.4,18.4,SAFE,1,Situation maîtrisée
5.85,24.7,18.2,SAFE,1,Situation maîtrisée
5.90,24.9,18.3,SAFE,1,Situation maîtrisée
5.95,25.2,18.4,SAFE,1,Situation maîtrisée
6.00,25.4,18.2,SAFE,1,Situation maîtrisée
6.05,25.7,18.3,SAFE,1,Situation maîtrisée
6.10,25.9,18.3,SAFE,1,Situation maîtrisée
6.15,26.2,18.5,SAFE,1,Situation maîtrisée
6.20,26.4,18.1,SAFE,1,Situation maîtrisée
6.25,26.7,18.4,SAFE,1,Situation maîtrisée
6.30,26.9,18.6,SAFE,1,Situation maîtrisée
6.35,27.2,18.3,SAFE,1,Situation maîtrisée
6.40,27.5,18.2,SAFE,1,Situation maîtrisée
6.45,27.7,18.0,SAFE,1,Situation maîtrisée
6.50,28.0,18.5,SAFE,1,Situation maîtrisée
6.55,28.2,18.3,SAFE,1,Situation maîtrisée
6.60,28.5,18.1,SAFE,1,Situation maîtrisée
6.65,28.7,18.4,SAFE,1,Situation maîtrisée
6.70,29.0,18.4,SAFE,1,Situation maîtrisée
6.75,29.2,18.2,SAFE,1,Situation maîtrisée
6.80,29.5,18.1,SAFE,1,Situation maîtrisée
6.85,29.7,18.3,SAFE,1,Situation maîtrisée
6.90,30.0,18.4,SAFE,1,Situation maîtrisée
6.95,30.2,18.2,SAFE,1,Situation maîtrisée
7.00,30.5,18.1,SAFE,1,Situation maîtrisée
7.05,30.7,18.5,SAFE,1,Situation maîtrisée
7.10,31.0,18.3,SAFE,1,Situation maîtrisée
7.15,31.3,18.1,SAFE,1,Situation maîtrisée
7.20,31.5,18.2,SAFE,1,Situation maîtrisée
7.25,31.8,18.4,SAFE,1,Situation maîtrisée
7.30,32.0,18.2,SAFE,1,Situation maîtrisée
7.35,32.3,18.1,SAFE,1,Situation maîtrisée
7.40,32.5,18.3,SAFE,1,Situation maîtrisée
7.45,32.8,18.6,SAFE,1,Situation maîtrisée
7.50,33.0,18.2,SAFE,1,Situation maîtrisée
7.55,33.3,18.5,SAFE,1,Situation maîtrisée
7.60,33.5,18.1,SAFE,1,Situation maîtrisée
7.65,33.8,18.5,SAFE,1,Situation maîtrisée
7.70,34.0,18.1,SAFE,1,Situation maîtrisée
7.75,34.3,18.4,SAFE,1,Situation maîtrisée
7.80,34.6,18.0,SAFE,1,Situation maîtrisée
7.85,34.8,18.3,SAFE,1,Situation maîtrisée
7.90,35.1,18.5,SAFE,1,Situation maîtrisée
7.95,35.3,18.1,SAFE,1,Situation maîtrisée
8.00,35.6,18.6,SAFE,1,Situation maîtrisée
8.05,35.8,18.2,SAFE,1,Situation maîtrisée
8.10,36.1,18.5,SAFE,1,Situation maîtrisée
8.15,36.3,18.1,SAFE,1,Situation maîtrisée
8.20,36.6,18.5,SAFE,1,Situation maîtrisée
8.25,36.8,18.1,SAFE,1,Situation maîtrisée
8.30,37.1,18.4,SAFE,1,Situation maîtrisée
8.35,37.4,18.6,SAFE,1,Situation maîtrisée
8.40,37.6,18.2,SAFE,1,Situation maîtrisée
8.45,37.9,18.5,SAFE,1,Situation maîtrisée
8.50,38.1,18.1,SAFE,1,Situation maîtrisée
8.55,38.4,18.5,SAFE,1,Situation maîtrisée
8.60,38.6,18.1,SAFE,1,Situation maîtrisée
8.65,38.9,18.3,SAFE,1,Situation maîtrisée
8.70,39.1,18.5,SAFE,1,Situation maîtrisée
8.75,39.4,18.2,SAFE,1,Situation maîtrisée
8.80,39.6,18.4,SAFE,1,Situation maîtrisée
8.85,39.9,18.1,SAFE,1,Situation maîtrisée
8.90,40.2,18.4,SAFE,1,Situation maîtrisée
8.95,40.4,18.4,DANGER,1,Ralentissez de 4 km/h  (18 -> 15 km/h)
9.00,40.7,18.0,DANGER,1,Ralentissez de 3 km/h  (18 -> 15 km/h)
9.05,40.9,18.0,DANGER,1,Ralentissez de 3 km/h  (18 -> 15 km/h)
9.10,41.2,17.6,DANGER,1,Ralentissez de 3 km/h  (18 -> 15 km/h)
9.15,41.4,17.1,DANGER,1,Ralentissez de 2 km/h  (17 -> 15 km/h)
9.20,41.6,16.5,WATCH,1,Ralentissez de 2 km/h  (17 -> 15 km/h)
9.25,41.9,16.0,WATCH,1,Ralentissez de 2 km/h  (16 -> 15 km/h)
9.30,42.1,15.6,WATCH,1,Vigilance — situation à la limite
9.35,42.3,15.1,WATCH,1,Vigilance — situation à la limite
9.40,42.5,14.7,SAFE,1,Situation maîtrisée
9.45,42.7,14.3,SAFE,1,Situation maîtrisée
9.50,42.9,14.3,SAFE,1,Situation maîtrisée
9.55,43.1,14.3,SAFE,1,Situation maîtrisée
9.60,43.3,14.5,SAFE,1,Situation maîtrisée
9.65,43.5,14.7,SAFE,1,Situation maîtrisée
9.70,43.7,14.9,WATCH,1,Vigilance — situation à la limite
9.75,43.9,15.0,WATCH,1,Vigilance — situation à la limite
9.80,44.1,14.8,WATCH,1,Vigilance — situation à la limite
9.85,44.3,14.5,SAFE,1,Situation maîtrisée
9.90,44.5,14.3,SAFE,1,Situation maîtrisée
9.95,44.7,14.2,SAFE,1,Situation maîtrisée
10.00,44.9,14.3,SAFE,1,Situation maîtrisée
10.05,45.1,14.5,SAFE,1,Situation maîtrisée
10.10,45.3,14.7,WATCH,1,Vigilance — situation à la limite
10.15,45.5,14.8,WATCH,1,Vigilance — situation à la limite
10.20,45.7,14.6,SAFE,1,Situation maîtrisée
10.25,45.9,14.4,SAFE,1,Situation maîtrisée
10.30,46.1,14.4,SAFE,1,Situation maîtrisée
10.35,46.3,14.5,SAFE,1,Situation maîtrisée
10.40,46.5,14.7,WATCH,1,Vigilance — situation à la limite
10.45,46.7,14.8,WATCH,1,Vigilance — situation à la limite
10.50,46.9,14.6,SAFE,1,Situation maîtrisée
10.55,47.1,14.4,SAFE,1,Situation maîtrisée
10.60,47.3,14.4,SAFE,1,Situation maîtrisée
10.65,47.5,14.5,SAFE,1,Situation maîtrisée
10.70,47.8,14.7,SAFE,1,Situation maîtrisée
10.75,48.0,14.9,SAFE,1,Situation maîtrisée
